mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-04-17 20:48:25.559140096,60.0539,-139.3325,3740.0,30.0,-2471.0,37.1,2808.0,22.2,50,S,2B,3413
2016-05-01 15:31:52.592096768,60.0539,-139.3325,4112.0,46.0,-2524.0,45.1,3246.0,46.2,24,S,1A,3413
2018-11-10 03:02:33.567475968,60.0539,-139.3325,2328.0,78.0,-1336.0,80.0,1906.0,76.7,11,S,1B,3413
2019-07-09 15:31:38.255123712,60.0539,-139.3325,3462.0,46.0,-2107.0,52.4,2747.0,41.7,12,S,1B,3413
2020-07-20 03:02:42.784546048,60.0539,-139.3325,3112.0,35.0,-1976.0,37.9,2404.0,33.6,24,S,1B,3413
2017-10-18 08:44:32.059140096,60.0539,-139.3325,2480.0,32.0,-1568.0,36.1,1921.0,28.2,35,S,2A,3413
2019-10-01 15:31:42.473337856,60.0539,-139.3325,2532.0,78.0,-1519.0,83.6,2026.0,74.7,12,S,1B,3413
2018-09-03 20:56:24.559140096,60.0539,-139.3325,2537.0,22.0,-1678.0,27.1,1903.0,16.9,70,S,2A,3413
2018-03-02 08:43:44.559140096,60.0539,-139.3325,3686.0,30.0,-2396.0,35.9,2801.0,23.8,44,S,2A,3413
2020-08-31 08:58:28.059140096,60.0539,-139.3325,2641.0,38.0,-1576.0,42.6,2119.0,34.7,24,S,2A,3413
2018-08-07 08:50:18.559140096,60.0539,-139.3325,2964.0,20.0,-2190.0,22.9,1997.0,16.9,64,S,2B,3413
2020-04-21 03:02:37.729669888,60.0539,-139.3325,3725.0,85.0,-2020.0,86.6,3130.0,84.3,12,S,1B,3413
2020-03-11 08:48:30.559139840,60.0539,-139.3325,8.0,3.0,8.0,2.8,-1.0,2.2,375,S,2B,3413
2018-04-21 20:51:31.059140096,60.0539,-139.3325,3775.0,87.0,-2189.0,96.1,3076.0,81.6,10,S,2B,3413
