mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-11-04 08:58:33.059141120,60.1966,-141.3675,1426.0,39.0,-1277.0,40.7,-635.0,33.9,25,S,2B,3413
2018-12-16 03:02:32.460777728,60.1966,-141.3675,1481.0,96.0,-1323.0,96.4,-665.0,93.2,11,S,1B,3413
2020-08-06 08:58:33.559141120,60.1966,-141.3675,1549.0,24.0,-1396.0,25.4,-672.0,15.6,74,S,2A,3413
2021-03-08 20:48:30.059141120,60.1966,-141.3675,1619.0,48.0,-1505.0,45.3,-598.0,61.3,59,S,2B,3413
2020-04-07 20:48:30.059141120,60.1966,-141.3675,1675.0,27.0,-1488.0,28.0,-768.0,24.0,70,S,2B,3413
2019-02-25 21:01:23.559141120,60.1966,-141.3675,1481.0,24.0,-1331.0,25.3,-650.0,16.1,60,S,2A,3413
2016-02-22 15:56:34.580242944,60.1966,-141.3675,1683.0,49.0,-1518.0,48.9,-727.0,46.9,24,S,1A,3413
2018-09-13 20:50:48.559141120,60.1966,-141.3675,1416.0,51.0,-1223.0,54.7,-714.0,40.4,10,S,2A,3413
2018-09-01 08:53:44.059141376,60.1966,-141.3675,1195.0,141.0,-913.0,149.7,-771.0,126.8,5,S,2A,3413
2019-04-25 15:56:57.331484928,60.1966,-141.3675,1778.0,87.0,-1598.0,85.5,-779.0,92.6,12,S,1A,3413
2020-04-18 08:58:26.059141120,60.1966,-141.3675,1734.0,65.0,-1538.0,68.2,-801.0,52.1,14,S,2A,3413
2020-05-01 15:57:03.830927872,60.1966,-141.3675,1899.0,76.0,-1746.0,77.2,-748.0,71.9,12,S,1A,3413
2020-02-14 15:48:42.877139968,60.1966,-141.3675,1689.0,100.0,-1570.0,96.2,-624.0,119.3,11,S,1A,3413
2021-03-08 20:48:31.559141120,60.1966,-141.3675,1767.0,76.0,-1558.0,80.8,-834.0,58.9,9,S,2A,3413
2018-06-17 20:43:16.559141120,60.1966,-141.3675,1698.0,22.0,-1505.0,23.2,-785.0,19.8,59,S,2A,3413
2020-07-14 20:58:35.059141120,60.1966,-141.3675,1763.0,40.0,-1556.0,43.1,-829.0,29.7,30,S,2A,3413
2018-08-07 08:50:18.559140864,60.1966,-141.3675,1449.0,27.0,-1308.0,28.4,-622.0,19.2,64,S,2B,3413
