mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2017-10-23 08:44:57.559140096,60.0878,-139.4344,305.0,30.0,-273.0,31.5,-136.0,23.1,45,S,2A,3413
2021-02-01 20:48:25.559140096,60.0878,-139.4344,1139.0,20.0,-1023.0,21.8,-500.0,9.7,149,S,2B,3413
2019-02-18 09:04:52.059140352,60.0878,-139.4344,776.0,84.0,-680.0,93.6,-374.0,34.6,15,S,2B,3413
2019-04-23 20:53:09.559140096,60.0878,-139.4344,1444.0,30.0,-1294.0,31.9,-640.0,21.9,49,S,2B,3413
2019-06-02 20:48:35.559140096,60.0878,-139.4344,1260.0,27.0,-1116.0,28.8,-584.0,19.9,70,S,2B,3413
2018-12-20 08:59:34.059140096,60.0878,-139.4344,498.0,11.0,-442.0,11.2,-230.0,9.3,155,S,2B,3413
2018-01-18 20:44:09.059140096,60.0878,-139.4344,541.0,22.0,-473.0,24.1,-262.0,9.7,129,S,2B,3413
2019-03-22 21:05:54.559140096,60.0878,-139.4344,1114.0,42.0,-972.0,45.0,-543.0,32.6,29,S,2A,3413
2018-06-17 20:43:16.559140096,60.0878,-139.4344,1075.0,21.0,-974.0,21.7,-455.0,16.6,59,S,2A,3413
2018-06-20 08:42:57.559140096,60.0878,-139.4344,1021.0,21.0,-921.0,21.4,-441.0,18.9,85,S,2A,3413
2018-05-07 15:48:31.921806080,60.0878,-139.4344,1457.0,97.0,-1332.0,90.8,-591.0,124.7,12,S,1A,3413
2018-12-27 21:03:35.559139840,60.0878,-139.4344,500.0,12.0,-440.0,12.8,-237.0,10.9,120,S,2A,3413
2020-06-29 08:48:31.059140096,60.0878,-139.4344,1112.0,35.0,-999.0,35.8,-488.0,30.6,35,S,2B,3413
2019-09-18 08:48:29.559140096,60.0878,-139.4344,362.0,32.0,-327.0,34.5,-153.0,16.8,74,S,2A,3413
2018-12-22 21:00:33.059140096,60.0878,-139.4344,534.0,8.0,-470.0,7.9,-254.0,7.4,190,S,2A,3413
2019-09-23 08:48:32.559140096,60.0878,-139.4344,366.0,22.0,-328.0,23.5,-162.0,15.9,94,S,2B,3413
2018-07-12 15:48:35.788468736,60.0878,-139.4344,531.0,38.0,-507.0,36.4,-158.0,49.0,24,S,1A,3413
2020-05-27 20:48:28.059140096,60.0878,-139.4344,1530.0,40.0,-1381.0,42.4,-659.0,29.2,30,S,2B,3413
2019-02-18 08:57:31.559140096,60.0878,-139.4344,834.0,8.0,-729.0,8.3,-406.0,4.8,265,S,2A,3413
2019-07-27 20:48:31.059140096,60.0878,-139.4344,536.0,22.0,-492.0,22.2,-213.0,18.6,99,S,2B,3413
2018-03-27 08:41:23.059140096,60.0878,-139.4344,823.0,142.0,-727.0,152.7,-385.0,96.4,5,S,2B,3413
2017-12-17 08:44:41.059140096,60.0878,-139.4344,444.0,11.0,-390.0,11.6,-212.0,8.4,155,S,2A,3413
2019-09-19 15:31:41.940594944,60.0878,-139.4344,333.0,29.0,-302.0,29.7,-140.0,27.0,36,S,1B,3413
2017-06-24 03:02:22.005799936,60.0878,-139.4344,1092.0,67.0,-928.0,70.3,-576.0,56.2,12,S,1B,3413
2019-02-22 20:53:05.059140096,60.0878,-139.4344,819.0,27.0,-725.0,29.7,-381.0,15.4,70,S,2B,3413
2019-03-02 08:45:24.559140096,60.0878,-139.4344,711.0,2.0,-616.0,2.4,-355.0,1.9,345,S,2B,3413
2020-04-17 20:48:25.559140096,60.0878,-139.4344,1441.0,34.0,-1281.0,37.1,-660.0,22.2,50,S,2B,3413
2018-06-15 08:43:16.559140096,60.0878,-139.4344,1095.0,22.0,-980.0,22.7,-488.0,16.4,75,S,2A,3413
2019-07-09 15:31:38.255123712,60.0878,-139.4344,494.0,52.0,-475.0,52.4,-135.0,41.7,12,S,1B,3413
2018-09-13 08:45:08.559140096,60.0878,-139.4344,585.0,7.0,-505.0,7.9,-294.0,4.6,255,S,2A,3413
2017-10-18 08:44:32.059140096,60.0878,-139.4344,313.0,35.0,-282.0,36.1,-135.0,28.2,35,S,2A,3413
2018-08-19 20:56:23.059140096,60.0878,-139.4344,647.0,5.0,-556.0,5.9,-332.0,2.4,350,S,2B,3413
2020-06-01 20:48:27.059140096,60.0878,-139.4344,1474.0,28.0,-1342.0,28.8,-609.0,21.4,60,S,2B,3413
2018-01-23 20:44:19.059140352,60.0878,-139.4344,563.0,15.0,-492.0,16.2,-274.0,7.7,159,S,2B,3413
2019-03-05 09:02:05.059140096,60.0878,-139.4344,924.0,27.0,-817.0,28.8,-432.0,20.5,65,S,2B,3413
2018-09-03 20:56:24.559140096,60.0878,-139.4344,353.0,25.0,-317.0,27.1,-155.0,16.9,70,S,2A,3413
2018-07-30 08:48:00.559140096,60.0878,-139.4344,634.0,2.0,-542.0,2.3,-328.0,1.8,375,S,2B,3413
2018-02-10 08:44:30.059140096,60.0878,-139.4344,656.0,11.0,-578.0,11.7,-310.0,6.8,174,S,2B,3413
2020-11-22 15:48:52.002569984,60.0878,-139.4344,600.0,56.0,-522.0,51.8,-296.0,66.1,23,S,1A,3413
2020-08-31 08:58:28.059140096,60.0878,-139.4344,408.0,42.0,-376.0,42.6,-158.0,34.7,24,S,2A,3413
2018-07-15 08:44:16.559140096,60.0878,-139.4344,778.0,13.0,-697.0,13.2,-346.0,11.0,114,S,2A,3413
2020-12-22 15:48:50.800442112,60.0878,-139.4344,741.0,37.0,-693.0,35.6,-262.0,47.2,35,S,1A,3413
2018-04-21 20:51:31.059140096,60.0878,-139.4344,1039.0,93.0,-902.0,96.1,-516.0,81.6,10,S,2B,3413
2018-07-27 20:44:24.059140096,60.0878,-139.4344,549.0,54.0,-489.0,55.5,-249.0,47.9,9,S,2B,3413
2019-07-25 08:48:33.559140096,60.0878,-139.4344,448.0,25.0,-400.0,26.7,-202.0,19.7,34,S,2B,3413
2017-03-07 15:47:41.362032640,60.0878,-139.4344,1186.0,83.0,-1085.0,77.1,-480.0,106.9,12,S,1B,3413
2020-05-28 15:31:42.257284096,60.0878,-139.4344,1352.0,61.0,-1255.0,61.7,-503.0,55.9,12,S,1B,3413
2019-09-16 08:58:28.059140096,60.0878,-139.4344,358.0,33.0,-334.0,33.9,-129.0,22.8,54,S,2B,3413
2020-11-04 08:58:27.059140096,60.0878,-139.4344,512.0,43.0,-462.0,44.2,-219.0,34.6,25,S,2B,3413
2019-02-23 08:57:32.059140096,60.0878,-139.4344,822.0,7.0,-717.0,8.0,-403.0,4.3,275,S,2A,3413
2019-10-29 15:48:46.042007296,60.0878,-139.4344,426.0,35.0,-387.0,33.4,-177.0,44.2,35,S,1A,3413
2018-12-02 08:46:31.559140096,60.0878,-139.4344,419.0,13.0,-375.0,13.5,-188.0,11.0,125,S,2B,3413
2020-04-15 08:48:27.059140096,60.0878,-139.4344,1388.0,44.0,-1244.0,45.5,-617.0,35.0,25,S,2B,3413
2018-08-19 08:47:30.559140096,60.0878,-139.4344,648.0,7.0,-555.0,8.5,-334.0,3.2,335,S,2B,3413
2019-10-11 08:58:25.559140096,60.0878,-139.4344,324.0,84.0,-316.0,84.2,-72.0,76.6,14,S,2A,3413
2018-04-21 20:51:18.059140096,60.0878,-139.4344,1078.0,39.0,-954.0,39.5,-502.0,35.7,30,S,2B,3413
2018-03-27 20:51:21.059140096,60.0878,-139.4344,860.0,89.0,-714.0,98.6,-481.0,64.8,9,S,2A,3413
2019-02-05 20:57:51.059140096,60.0878,-139.4344,757.0,4.0,-657.0,4.3,-375.0,3.1,310,S,2B,3413
2019-05-08 20:48:35.559140096,60.0878,-139.4344,1585.0,52.0,-1395.0,54.8,-753.0,42.8,20,S,2B,3413
2020-12-26 20:58:25.559140096,60.0878,-139.4344,898.0,13.0,-806.0,14.0,-395.0,10.7,99,S,2A,3413
2018-12-04 03:02:32.786010368,60.0878,-139.4344,336.0,81.0,-315.0,81.8,-118.0,78.9,11,S,1B,3413
2018-07-10 20:54:13.059140096,60.0878,-139.4344,816.0,17.0,-728.0,17.1,-370.0,14.4,110,S,2B,3413
