PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, AC12
Station name, ChernaburaAK2008
Begin Date, 2008-05-06
End Date, 2023-09-04
Release Date, 2023-10-05
Source file, AC12.cwu.nam14.pos
Offset from source file, 47.87 mm North, -40.07 mm East, -1.22 mm Vertical
Reference position, 54.8309633807 North Latitude, -159.5895623482 East Longitude, 84.40912 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2013-01-16,41.55, -33.30, -3.38, 2.23, 1.56, 7.26, repro,
2013-01-17,41.31, -33.60, 1.43, 2.17, 1.54, 7.08, repro,
2013-01-18,41.75, -34.87, 2.14, 2.25, 1.55, 7.11, repro,
2013-01-19,38.99, -36.01, -4.82, 2.15, 1.51, 6.87, repro,
2013-01-20,38.26, -34.47, -4.83, 2.2, 1.53, 7.03, repro,
2013-01-21,38.96, -35.01, -0.55, 2.2, 1.52, 7, repro,
2013-01-22,39.26, -34.85, 0.77, 2.22, 1.52, 7.04, repro,
2013-01-23,39.64, -34.52, 0.30, 2.25, 1.57, 7.11, repro,
2013-01-24,38.72, -34.38, 5.03, 2.25, 1.57, 7.11, repro,
2013-01-25,40.96, -34.59, 8.10, 2.21, 1.53, 7.04, repro,
2013-01-26,40.97, -34.86, 2.52, 2.21, 1.53, 7.04, repro,
2013-01-27,39.69, -34.08, 2.66, 2.21, 1.53, 6.99, repro,
2013-01-28,39.87, -33.35, -3.05, 2.18, 1.51, 6.94, repro,
2013-01-29,38.18, -32.30, -7.68, 2.16, 1.5, 6.84, repro,
2013-01-30,38.29, -33.53, -2.06, 2.22, 1.54, 7.11, repro,
2013-01-31,40.60, -35.30, 0.01, 2.33, 1.66, 7.73, repro,
2013-02-01,39.22, -35.10, -6.94, 2.24, 1.6, 7.32, repro,
2013-02-02,38.72, -34.34, 2.30, 2.17, 1.53, 7.02, repro,
2013-02-03,38.93, -34.99, 3.79, 2.17, 1.53, 6.95, repro,
2013-02-04,39.19, -33.82, 3.99, 2.15, 1.51, 6.85, repro,
2013-02-05,39.76, -33.80, 8.48, 2.3, 1.59, 7.31, repro,
2013-02-06,39.61, -34.73, 9.61, 2.31, 1.64, 7.4, repro,
2013-02-07,39.67, -34.39, 6.55, 2.19, 1.54, 7.09, repro,
2013-02-08,39.79, -33.38, 9.07, 2.15, 1.5, 6.81, repro,
2013-02-09,37.60, -34.02, 10.86, 2.17, 1.5, 6.83, repro,
2013-02-10,40.58, -33.58, 10.15, 2.23, 1.53, 7.01, repro,
2013-02-11,41.31, -30.81, 5.66, 2.24, 1.55, 7.12, repro,
2013-02-12,40.01, -33.72, 8.81, 2.19, 1.55, 7.13, repro,
2013-02-13,41.22, -35.05, 8.71, 2.24, 1.55, 7.16, repro,
2013-02-14,40.11, -34.69, 11.49, 2.16, 1.51, 6.87, repro,
2013-02-15,42.07, -35.52, 3.17, 2.16, 1.51, 6.85, repro,
2013-02-16,40.33, -33.52, 3.83, 2.16, 1.51, 6.88, repro,
2013-02-17,41.30, -34.73, 3.93, 2.17, 1.52, 6.94, repro,
2013-02-18,40.27, -34.24, 4.63, 2.17, 1.52, 6.95, repro,
2013-02-19,39.06, -33.90, 0.84, 2.17, 1.51, 6.9, repro,
2013-02-20,41.65, -36.07, 9.56, 2.17, 1.51, 6.89, repro,
2013-02-21,40.05, -36.04, 3.44, 2.18, 1.55, 7.06, repro,
2013-02-22,40.42, -35.74, 8.47, 2.23, 1.57, 7.2, repro,
2013-02-23,40.55, -34.09, 8.48, 2.24, 1.58, 7.24, repro,
2013-02-24,40.50, -34.85, 5.20, 2.16, 1.52, 6.9, repro,
2013-02-25,40.31, -34.90, 8.54, 2.19, 1.55, 7.07, repro,
2013-02-26,41.21, -34.95, 3.44, 2.18, 1.52, 6.94, repro,
2013-02-27,38.96, -34.90, -0.88, 2.16, 1.5, 6.85, repro,
2013-02-28,40.05, -35.07, -0.52, 2.16, 1.51, 6.84, repro,
2013-03-01,40.69, -34.37, -1.04, 2.15, 1.51, 6.83, repro,
2013-03-02,39.23, -35.11, -1.64, 2.26, 1.56, 7.11, repro,
2013-03-03,40.26, -34.31, -3.59, 2.24, 1.56, 7.07, repro,
2013-03-04,40.47, -35.30, -2.58, 2.24, 1.56, 7.08, repro,
2013-03-05,35.53, -35.65, -6.73, 2.19, 1.54, 6.96, repro,
2013-03-06,40.68, -36.43, 5.43, 2.24, 1.6, 7.22, repro,
2013-03-07,38.78, -35.58, 4.56, 2.19, 1.55, 7.07, repro,
2013-03-08,39.69, -35.37, 7.43, 2.19, 1.52, 6.96, repro,
2013-03-09,40.76, -35.67, 4.44, 2.19, 1.51, 6.94, repro,
2013-03-10,42.66, -34.72, -2.69, 2.17, 1.51, 6.89, repro,
2013-03-11,42.73, -34.61, -0.97, 2.17, 1.52, 6.93, repro,
2013-03-12,41.74, -35.56, -2.46, 2.18, 1.52, 6.88, repro,
2013-03-13,41.34, -34.88, -3.37, 2.17, 1.52, 6.91, repro,
2013-03-14,41.67, -34.35, -7.28, 2.18, 1.52, 6.92, repro,
2013-03-15,41.50, -33.99, -6.20, 2.17, 1.52, 6.91, repro,
2013-03-16,39.85, -34.53, -5.29, 2.18, 1.52, 6.93, repro,
2013-03-17,42.34, -34.42, -3.96, 2.22, 1.55, 7.02, repro,
2013-03-18,43.67, -35.47, -5.89, 2.21, 1.55, 6.97, repro,
2013-03-19,42.93, -35.96, 0.35, 2.17, 1.51, 6.86, repro,
2013-03-20,42.20, -34.92, -0.17, 2.19, 1.51, 6.91, repro,
2013-03-21,42.50, -34.44, -2.58, 2.17, 1.51, 6.86, repro,
2013-03-22,42.77, -35.75, -2.58, 2.17, 1.51, 6.89, repro,
2013-03-23,39.70, -35.83, -3.75, 2.22, 1.53, 6.94, repro,
2013-03-24,41.16, -34.46, -4.18, 2.17, 1.51, 6.87, repro,
2013-03-25,41.93, -34.72, 0.74, 2.18, 1.51, 6.89, repro,
2013-03-26,43.17, -35.03, -4.11, 2.17, 1.51, 6.86, repro,
2013-03-27,41.88, -35.09, -4.98, 2.17, 1.52, 6.91, repro,
2013-03-28,41.25, -35.98, -9.08, 2.24, 1.55, 7.05, repro,
2013-03-29,40.75, -35.02, -2.72, 2.23, 1.53, 6.98, repro,
2013-03-30,43.67, -33.63, -5.24, 2.24, 1.54, 6.99, repro,
2013-03-31,42.73, -32.09, -12.25, 2.23, 1.53, 6.98, repro,
2013-04-01,42.67, -33.43, -8.84, 2.23, 1.53, 6.98, repro,
2013-04-02,42.95, -35.16, -6.68, 2.23, 1.54, 7.01, repro,
2013-04-03,42.19, -34.02, -9.86, 2.24, 1.55, 7.06, repro,
2013-04-04,39.77, -34.51, -5.23, 2.32, 1.58, 7.11, repro,
2013-04-05,40.17, -35.59, 1.70, 2.23, 1.53, 6.96, repro,
2013-04-06,42.08, -35.70, -0.20, 2.23, 1.54, 7, repro,
2013-04-07,42.11, -35.36, -2.32, 2.24, 1.55, 7.05, repro,
2013-04-08,44.62, -35.41, -1.67, 2.23, 1.54, 7.06, repro,
2013-04-09,44.94, -36.34, -2.58, 2.24, 1.54, 7.05, repro,
2013-04-10,43.66, -35.54, -2.88, 2.23, 1.55, 7.05, repro,
2013-04-11,43.46, -34.94, -6.36, 2.29, 1.56, 7.24, repro,
2013-04-12,43.16, -36.39, -5.73, 2.27, 1.57, 7.23, repro,
2013-04-13,43.40, -35.53, -7.57, 2.23, 1.55, 7.04, repro,
2013-04-14,44.80, -35.36, -7.28, 2.23, 1.54, 7.02, repro,
2013-04-15,42.82, -35.89, -0.91, 2.25, 1.54, 7.05, repro,
2013-04-16,43.56, -36.14, -6.33, 2.25, 1.53, 7.04, repro,
2013-04-17,43.13, -35.20, -5.15, 2.27, 1.54, 7.07, repro,
2013-04-18,43.24, -35.35, -11.69, 2.25, 1.54, 7.07, repro,
2013-04-19,43.22, -36.16, -7.66, 2.23, 1.55, 7.05, repro,
2013-04-20,43.49, -36.33, -11.40, 2.22, 1.53, 7, repro,
2013-04-21,44.04, -36.16, -6.25, 2.23, 1.54, 7.03, repro,
2013-04-22,44.25, -37.16, -9.97, 2.25, 1.54, 7.06, repro,
2013-04-23,42.62, -36.92, -5.47, 2.25, 1.54, 7.07, repro,
2013-04-24,44.37, -35.76, -3.56, 2.3, 1.56, 7.17, repro,
2013-04-25,44.87, -35.15, 2.37, 2.34, 1.58, 7.18, repro,
2013-04-26,44.28, -34.85, 1.09, 2.23, 1.53, 6.99, repro,
2013-04-27,42.96, -33.15, 2.37, 2.24, 1.54, 7, repro,
2013-04-28,44.20, -35.16, -2.52, 2.25, 1.54, 7.01, repro,
2013-04-29,43.42, -34.83, -3.30, 2.25, 1.55, 7.07, repro,
2013-04-30,41.01, -37.29, -2.76, 2.38, 1.65, 7.41, repro,
2013-05-01,42.28, -35.76, 1.13, 2.23, 1.54, 7.01, repro,
2013-05-02,42.51, -36.73, 3.17, 2.24, 1.55, 7.03, repro,
2013-05-03,43.40, -36.44, -2.60, 2.23, 1.54, 7.01, repro,
2013-05-04,43.60, -36.86, -0.19, 2.24, 1.54, 7.02, repro,
2013-05-05,43.49, -36.66, 2.97, 2.25, 1.56, 7.14, repro,
2013-05-06,43.81, -36.29, -3.99, 2.24, 1.55, 7.05, repro,
2013-05-07,42.53, -35.86, -1.25, 2.23, 1.54, 7, repro,
2013-05-08,43.71, -37.76, -7.94, 2.22, 1.54, 6.99, repro,
2013-05-09,42.52, -36.43, -7.22, 2.23, 1.53, 6.99, repro,
2013-05-10,44.14, -36.02, -4.70, 2.27, 1.58, 7.28, repro,
2013-05-11,44.57, -36.25, -2.37, 2.25, 1.55, 7.08, repro,
2013-05-12,43.15, -36.17, 6.00, 2.24, 1.54, 7.02, repro,
2013-05-13,43.68, -35.59, 5.69, 2.24, 1.54, 7.03, repro,
2013-05-14,44.67, -36.18, 6.28, 2.22, 1.55, 7.01, repro,
2013-05-15,42.09, -36.49, 6.12, 2.25, 1.55, 7.06, repro,
2013-05-16,44.85, -37.17, 1.26, 2.25, 1.56, 7.11, repro,
2013-05-17,44.50, -36.46, 5.65, 2.35, 1.68, 7.82, repro,
2013-05-18,44.33, -35.97, 1.62, 2.23, 1.55, 7.02, repro,
2013-05-19,42.95, -36.14, 1.24, 2.23, 1.56, 7.07, repro,
2013-05-20,42.72, -35.84, -5.73, 2.23, 1.55, 7.09, repro,
2013-05-21,40.56, -37.99, -6.98, 2.24, 1.55, 7.11, repro,
2013-05-22,40.48, -36.24, 3.03, 2.25, 1.55, 7.09, repro,
2013-05-23,43.37, -36.84, -0.13, 2.24, 1.56, 7.07, repro,
2013-05-24,43.53, -36.84, 5.76, 2.23, 1.55, 7.06, repro,
2013-05-25,43.55, -34.79, -2.59, 2.23, 1.55, 7.05, repro,
2013-05-26,42.23, -37.85, -1.45, 2.22, 1.54, 7.03, repro,
2013-05-27,42.29, -38.23, 3.89, 2.24, 1.55, 7.06, repro,
2013-05-28,42.67, -36.88, 3.29, 2.24, 1.55, 7.06, repro,
2013-05-29,45.63, -36.61, 1.27, 2.25, 1.55, 7.07, repro,
2013-05-30,43.47, -36.32, 2.63, 2.23, 1.54, 7.03, repro,
2013-05-31,45.34, -36.51, 1.56, 2.23, 1.54, 7.03, repro,
2013-06-01,45.57, -37.21, -4.96, 2.25, 1.57, 7.15, repro,
2013-06-02,40.86, -36.99, 1.13, 2.24, 1.55, 7.07, repro,
2013-06-03,43.15, -36.90, -2.43, 2.25, 1.55, 7.07, repro,
2013-06-04,44.16, -37.29, -5.39, 2.29, 1.58, 7.23, repro,
2013-06-05,45.40, -37.20, -2.14, 2.23, 1.54, 7.01, repro,
2013-06-06,45.38, -37.48, -0.70, 2.24, 1.55, 7.05, repro,
2013-06-07,44.04, -37.19, -0.63, 2.24, 1.55, 7.03, repro,
2013-06-08,42.82, -36.47, -0.47, 2.25, 1.55, 7.07, repro,
2013-06-09,44.03, -37.28, -0.74, 2.24, 1.55, 7.06, repro,
2013-06-10,43.07, -35.76, -1.57, 2.23, 1.54, 7.02, repro,
2013-06-11,44.18, -36.84, -1.40, 2.22, 1.54, 6.98, repro,
2013-06-12,44.84, -36.71, 2.80, 2.29, 1.6, 7.25, repro,
2013-06-13,42.25, -37.31, 5.85, 2.23, 1.55, 7.04, repro,
2013-06-14,44.36, -37.17, 0.33, 2.25, 1.55, 7.08, repro,
2013-06-15,41.79, -37.19, 2.03, 2.24, 1.54, 7.05, repro,
2013-06-16,44.28, -38.78, 5.24, 2.22, 1.55, 7.01, repro,
2013-06-17,43.72, -36.49, 13.08, 2.22, 1.54, 7, repro,
2013-06-18,43.23, -37.59, 6.94, 2.3, 1.56, 7.11, repro,
2013-06-19,41.22, -37.97, 4.30, 2.3, 1.56, 7.12, repro,
2013-06-20,43.41, -36.89, 4.27, 2.26, 1.54, 7.07, repro,
2013-06-21,43.25, -37.87, 3.92, 2.24, 1.54, 7.02, repro,
2013-06-22,40.67, -37.11, 3.74, 2.2, 1.53, 6.96, repro,
2013-06-23,43.30, -36.42, 5.77, 2.27, 1.58, 7.21, repro,
2013-06-24,44.98, -36.61, 8.72, 2.21, 1.53, 6.98, repro,
2013-06-25,42.81, -37.40, 7.57, 2.21, 1.54, 6.97, repro,
2013-06-26,42.72, -37.46, 6.45, 2.2, 1.53, 6.93, repro,
2013-06-27,43.22, -37.11, 1.51, 2.2, 1.53, 6.94, repro,
2013-06-28,44.30, -36.58, -1.76, 2.22, 1.54, 7, repro,
2013-06-29,43.20, -36.06, -3.24, 2.22, 1.55, 7.04, repro,
2013-06-30,40.40, -37.91, 3.38, 2.21, 1.54, 6.97, repro,
2013-07-01,41.36, -34.93, 8.78, 2.2, 1.53, 6.94, repro,
2013-07-02,42.56, -36.55, 10.44, 2.21, 1.53, 6.94, repro,
2013-07-03,42.84, -36.93, 5.42, 2.22, 1.54, 7.02, repro,
2013-07-04,43.33, -36.03, 6.08, 2.21, 1.53, 6.99, repro,
2013-07-05,42.27, -38.95, 4.13, 2.22, 1.54, 7.04, repro,
2013-07-06,39.67, -35.67, 5.63, 2.21, 1.53, 6.97, repro,
2013-07-07,42.58, -36.01, 5.24, 2.19, 1.53, 6.93, repro,
2013-07-08,43.53, -35.04, 5.04, 2.19, 1.53, 6.97, repro,
2013-07-09,44.69, -35.10, 4.14, 2.21, 1.54, 7, repro,
2013-07-10,43.47, -38.37, 2.96, 2.21, 1.53, 6.99, repro,
2013-07-11,42.69, -38.30, 5.85, 2.31, 1.59, 7.27, repro,
2013-07-12,44.26, -36.87, -1.02, 2.2, 1.53, 6.98, repro,
2013-07-13,44.66, -36.67, -4.11, 2.2, 1.54, 6.97, repro,
2013-07-14,44.43, -36.50, 0.27, 2.2, 1.54, 7.01, repro,
2013-07-15,43.42, -37.12, -1.88, 2.22, 1.53, 7.03, repro,
2013-07-16,39.58, -36.90, 0.29, 2.2, 1.53, 6.97, repro,
2013-07-17,38.11, -36.12, -8.04, 2.21, 1.53, 6.95, repro,
2013-07-18,40.49, -36.55, -2.74, 2.2, 1.54, 7, repro,
2013-07-19,40.89, -35.93, -1.14, 2.2, 1.55, 7.05, repro,
2013-07-20,42.18, -35.41, -6.49, 2.2, 1.53, 7.01, repro,
2013-07-21,42.16, -37.13, 11.36, 2.19, 1.53, 6.94, repro,
2013-07-22,42.97, -35.65, 7.29, 2.22, 1.54, 7.02, repro,
2013-07-23,44.84, -35.03, -0.53, 2.2, 1.53, 6.98, repro,
2013-07-24,43.74, -36.61, -4.74, 2.21, 1.57, 7.21, repro,
2013-07-25,41.95, -36.88, 0.22, 2.22, 1.59, 7.26, repro,
2013-07-26,43.22, -36.97, -5.62, 2.2, 1.53, 6.95, repro,
2013-07-27,42.78, -37.37, -5.44, 2.19, 1.53, 6.95, repro,
2013-07-28,43.18, -37.12, -0.41, 2.19, 1.53, 6.95, repro,
2013-07-29,41.39, -36.48, -1.91, 2.19, 1.54, 7, repro,
2013-07-30,44.29, -38.21, -3.92, 2.21, 1.55, 7.06, repro,
2013-07-31,45.29, -35.16, -3.34, 2.23, 1.55, 7.07, repro,
2013-08-01,47.91, -36.54, -2.10, 2.21, 1.55, 7.06, repro,
2013-08-02,43.21, -37.94, -2.14, 2.19, 1.52, 6.93, repro,
2013-08-03,42.57, -36.69, 0.97, 2.2, 1.53, 6.97, repro,
2013-08-04,43.96, -37.25, 6.11, 2.2, 1.53, 7.01, repro,
2013-08-05,43.09, -37.23, 0.93, 2.21, 1.55, 7.05, repro,
2013-08-06,42.86, -37.71, 3.04, 2.21, 1.54, 7.05, repro,
2013-08-07,41.76, -37.51, 1.97, 2.2, 1.53, 6.94, repro,
2013-08-08,41.44, -37.43, 1.71, 2.2, 1.53, 6.96, repro,
2013-08-09,43.34, -37.25, 4.82, 2.19, 1.53, 6.96, repro,
2013-08-10,42.28, -37.13, 4.23, 2.21, 1.55, 7.06, repro,
2013-08-11,45.03, -37.75, 2.09, 2.21, 1.55, 7.06, repro,
2013-08-12,44.62, -37.53, 2.58, 2.37, 1.63, 7.41, repro,
2013-08-13,45.33, -37.21, -2.57, 2.24, 1.56, 7.18, repro,
2013-08-14,43.90, -37.74, -0.48, 2.22, 1.54, 7.03, repro,
2013-08-15,41.09, -37.26, 1.98, 2.25, 1.57, 7.18, repro,
2013-08-16,43.79, -37.40, 4.04, 2.21, 1.55, 7.06, repro,
2013-08-17,45.69, -38.42, 4.37, 2.23, 1.57, 7.18, repro,
2013-08-18,45.51, -38.08, 9.01, 2.22, 1.54, 7.01, repro,
2013-08-19,44.98, -38.00, -5.36, 2.28, 1.57, 7.2, repro,
2013-08-20,46.67, -38.17, 8.20, 2.25, 1.59, 7.22, repro,
2013-08-21,44.87, -37.19, 3.05, 2.25, 1.58, 7.36, repro,
2013-08-22,44.44, -38.53, 9.72, 2.24, 1.57, 7.24, repro,
2013-08-23,41.81, -37.55, 12.78, 2.3, 1.59, 7.34, repro,
2013-08-24,46.26, -37.26, 8.59, 2.22, 1.55, 7.11, repro,
2013-08-25,42.51, -35.56, 16.23, 2.22, 1.54, 7.06, repro,
2013-08-26,45.15, -37.36, -3.20, 2.29, 1.6, 7.34, repro,
2013-08-27,46.42, -37.55, 0.48, 2.24, 1.56, 7.16, repro,
2013-08-28,45.65, -38.12, 8.64, 2.33, 1.62, 7.5, repro,
2013-08-29,45.49, -36.43, 7.80, 2.31, 1.65, 7.5, repro,
2013-08-30,43.68, -37.51, 7.13, 2.2, 1.53, 6.98, repro,
2013-08-31,47.39, -36.07, 6.76, 2.21, 1.54, 7.04, repro,
2013-09-01,45.26, -36.94, -2.68, 2.23, 1.56, 7.16, repro,
2013-09-02,46.98, -33.20, 2.36, 2.25, 1.56, 7.19, repro,
2013-09-03,47.49, -35.30, 6.54, 2.29, 1.61, 7.33, repro,
2013-09-04,45.52, -35.31, 8.99, 2.29, 1.61, 7.46, repro,
2013-09-05,42.19, -38.18, 5.71, 2.24, 1.57, 7.28, repro,
2013-09-06,45.27, -38.64, 7.67, 2.25, 1.57, 7.31, repro,
2013-09-07,45.83, -37.74, -1.92, 2.31, 1.6, 7.32, repro,
2013-09-08,46.11, -37.85, 5.65, 2.23, 1.55, 7.11, repro,
2013-09-09,44.86, -36.38, 8.28, 2.22, 1.55, 7.1, repro,
2013-09-10,45.89, -37.81, 6.12, 2.22, 1.55, 7.11, repro,
2013-09-11,44.28, -37.86, 6.33, 2.22, 1.55, 7.1, repro,
2013-09-12,40.71, -38.58, 2.16, 2.24, 1.56, 7.15, repro,
2013-09-13,45.43, -37.84, 0.94, 2.26, 1.57, 7.31, repro,
2013-09-14,47.48, -37.31, -4.64, 2.24, 1.57, 7.24, repro,
2013-09-15,45.46, -35.88, 2.96, 2.32, 1.61, 7.44, repro,
2013-09-16,44.59, -36.62, 11.40, 2.25, 1.58, 7.34, repro,
2013-09-17,44.20, -36.90, 7.59, 2.26, 1.58, 7.34, repro,
2013-09-18,43.21, -37.77, -1.04, 2.19, 1.54, 6.97, repro,
2013-09-19,46.37, -39.56, 3.37, 2.26, 1.56, 7.05, repro,
2013-09-20,47.25, -39.49, 10.54, 2.18, 1.53, 6.95, repro,
2013-09-21,45.19, -38.43, 4.31, 2.21, 1.54, 7.05, repro,
2013-09-22,49.16, -38.23, 6.51, 2.18, 1.53, 7, repro,
2013-09-23,44.37, -37.02, 2.02, 2.2, 1.53, 7, repro,
2013-09-24,45.17, -38.49, 2.91, 2.19, 1.54, 6.97, repro,
2013-09-25,48.37, -36.31, -3.00, 2.24, 1.56, 7.06, repro,
2013-09-26,47.38, -39.63, -0.86, 2.18, 1.53, 6.94, repro,
2013-09-27,46.47, -38.87, 9.81, 2.21, 1.55, 7.07, repro,
2013-09-28,50.50, -38.40, 10.90, 2.2, 1.54, 7.01, repro,
2013-09-29,46.58, -37.59, 3.80, 2.23, 1.54, 7.04, repro,
2013-09-30,49.27, -38.37, 1.05, 2.25, 1.59, 7.11, repro,
2013-10-01,45.85, -36.32, -2.78, 2.18, 1.53, 6.93, repro,
2013-10-02,45.96, -37.68, -0.15, 2.21, 1.53, 7.01, repro,
2013-10-03,46.24, -37.83, -5.47, 2.19, 1.53, 6.99, repro,
2013-10-04,46.52, -37.17, 1.69, 2.17, 1.53, 6.94, repro,
2013-10-05,44.86, -37.23, 0.87, 2.19, 1.53, 6.99, repro,
2013-10-06,47.17, -37.81, 6.14, 2.17, 1.53, 6.93, repro,
2013-10-07,45.61, -34.91, 4.39, 2.18, 1.52, 6.93, repro,
2013-10-08,46.65, -36.88, 2.69, 2.18, 1.53, 6.98, repro,
2013-10-09,47.48, -36.11, 2.76, 2.2, 1.54, 7.01, repro,
2013-10-10,44.49, -36.92, 7.13, 2.2, 1.53, 7, repro,
2013-10-11,44.06, -37.48, 2.66, 2.22, 1.54, 7.06, repro,
2013-10-12,48.47, -35.72, 3.85, 2.18, 1.53, 6.96, repro,
2013-10-13,46.71, -37.18, 3.97, 2.25, 1.57, 7.23, repro,
2013-10-14,47.03, -38.78, 7.82, 2.17, 1.54, 6.95, repro,
2013-10-15,45.94, -35.28, 8.75, 2.26, 1.56, 7.17, repro,
2013-10-16,46.39, -36.97, 4.01, 2.2, 1.52, 6.96, repro,
2013-10-17,45.00, -38.60, -0.71, 2.21, 1.53, 7.02, repro,
2013-10-18,46.79, -37.66, 2.25, 2.2, 1.53, 6.97, repro,
2013-10-19,47.89, -36.74, 2.90, 2.18, 1.53, 6.93, repro,
2013-10-20,46.78, -37.20, -1.68, 2.24, 1.55, 7.1, repro,
2013-10-21,45.54, -37.27, 1.75, 2.24, 1.54, 7.12, repro,
2013-10-22,44.80, -38.21, 0.52, 2.2, 1.52, 6.98, repro,
2013-10-23,44.06, -39.01, 8.17, 2.21, 1.53, 6.99, repro,
2013-10-24,47.03, -37.46, 1.91, 2.18, 1.52, 6.91, repro,
2013-10-25,47.74, -37.85, 3.12, 2.18, 1.53, 6.93, repro,
2013-10-26,44.30, -38.70, 0.42, 2.34, 1.62, 7.35, repro,
2013-10-27,46.04, -38.81, -1.03, 2.21, 1.53, 6.99, repro,
2013-10-28,45.36, -37.40, 4.76, 2.21, 1.52, 6.99, repro,
2013-10-29,44.99, -38.81, 5.22, 2.26, 1.55, 7.11, repro,
2013-10-30,48.00, -38.22, 5.30, 2.18, 1.54, 6.99, repro,
2013-10-31,47.80, -39.18, 7.90, 2.18, 1.53, 6.94, repro,
2013-11-01,47.37, -39.92, 9.60, 2.26, 1.58, 7.09, repro,
2013-11-02,47.00, -38.87, 1.75, 2.24, 1.58, 7.11, repro,
2013-11-03,43.64, -38.95, 2.63, 2.23, 1.56, 7.1, repro,
2013-11-04,48.34, -37.78, 6.22, 2.26, 1.6, 7.23, repro,
2013-11-05,49.86, -40.82, 4.28, 2.23, 1.59, 7.19, repro,
2013-11-06,48.64, -38.52, -1.77, 2.19, 1.53, 6.97, repro,
2013-11-07,48.93, -36.85, 2.80, 2.18, 1.53, 6.97, repro,
2013-11-08,49.18, -40.31, 3.72, 2.17, 1.51, 6.86, repro,
2013-11-09,47.80, -37.43, 2.95, 2.19, 1.53, 6.98, repro,
2013-11-10,47.46, -39.61, 10.74, 2.18, 1.53, 6.99, repro,
2013-11-11,49.49, -40.34, 2.53, 2.18, 1.53, 6.98, repro,
2013-11-12,50.53, -40.41, 4.80, 2.19, 1.53, 6.99, repro,
2013-11-13,47.58, -39.56, 6.85, 2.18, 1.52, 6.92, repro,
2013-11-14,51.70, -40.29, -1.12, 2.19, 1.53, 7.01, repro,
2013-11-15,51.51, -35.87, 2.57, 2.18, 1.53, 7, repro,
2013-11-16,54.57, -38.77, 14.87, 2.2, 1.53, 7.05, repro,
2013-11-17,48.46, -39.75, 3.03, 2.2, 1.53, 7.02, repro,
2013-11-18,49.48, -40.05, 0.13, 2.21, 1.53, 6.99, repro,
2013-11-19,48.78, -40.07, 3.01, 2.25, 1.57, 7.2, repro,
2013-11-20,47.09, -40.35, 7.22, 2.19, 1.53, 6.98, repro,
2013-11-21,47.48, -40.93, 11.12, 2.2, 1.53, 7.04, repro,
2013-11-22,48.52, -41.23, 4.17, 2.19, 1.53, 6.99, repro,
2013-11-23,47.89, -41.56, 2.13, 2.19, 1.52, 6.92, repro,
2013-11-24,46.77, -40.71, 0.11, 2.17, 1.52, 6.91, repro,
2013-11-25,48.42, -41.03, 7.43, 2.21, 1.54, 7, repro,
2013-11-26,49.23, -41.51, 4.65, 2.25, 1.55, 7.13, repro,
2013-11-27,49.22, -41.28, 7.00, 2.2, 1.53, 7.02, repro,
2013-11-28,48.53, -41.19, 7.42, 2.32, 1.65, 7.54, repro,
2013-11-29,49.40, -41.46, 7.40, 2.22, 1.54, 7, repro,
2013-11-30,48.40, -41.87, 3.90, 2.22, 1.54, 7.04, repro,
2013-12-01,49.94, -41.38, 1.02, 2.25, 1.56, 7.15, repro,
2013-12-03,47.45, -36.25, -9.07, 2.38, 1.72, 7.78, repro,
2013-12-04,45.88, -38.15, -1.61, 2.47, 1.75, 7.97, repro,
2013-12-05,42.50, -40.45, 1.96, 2.2, 1.55, 7.11, repro,
2013-12-06,46.32, -44.32, 4.97, 2.25, 1.56, 7.18, repro,
2013-12-07,45.95, -44.55, -4.99, 2.27, 1.56, 7.18, repro,
2013-12-08,46.55, -39.45, 8.26, 2.26, 1.58, 7.36, repro,
2013-12-09,46.16, -41.49, 3.86, 2.18, 1.51, 6.89, repro,
2013-12-10,47.04, -41.44, 4.64, 2.19, 1.51, 6.91, repro,
2013-12-11,49.15, -42.03, 7.23, 2.2, 1.54, 7.01, repro,
2013-12-12,47.65, -41.57, 12.37, 2.31, 1.57, 7.26, repro,
2013-12-13,47.64, -41.92, 14.29, 2.26, 1.55, 7.15, repro,
2013-12-14,49.91, -43.30, 12.36, 2.25, 1.55, 7.1, repro,
2013-12-15,49.08, -43.64, 16.79, 2.18, 1.51, 6.87, repro,
2013-12-16,48.93, -41.69, 9.17, 2.23, 1.54, 7.01, repro,
2013-12-17,48.96, -41.53, 11.90, 2.19, 1.53, 6.99, repro,
2013-12-18,48.85, -41.75, 5.69, 2.2, 1.54, 7.05, repro,
2013-12-19,46.69, -38.97, 6.37, 2.21, 1.53, 7.02, repro,
2013-12-20,45.67, -39.87, 16.78, 2.24, 1.55, 7.06, repro,
2013-12-21,46.13, -40.98, 10.42, 2.18, 1.53, 6.9, repro,
2013-12-22,48.01, -42.46, 13.84, 2.2, 1.55, 7.03, repro,
2013-12-23,48.38, -42.54, 12.10, 2.21, 1.55, 7.09, repro,
2013-12-24,47.19, -40.93, -0.65, 2.21, 1.53, 7.05, repro,
2013-12-25,47.16, -40.40, 5.86, 2.19, 1.52, 6.97, repro,
2013-12-26,45.67, -41.42, 8.99, 2.3, 1.61, 7.23, repro,
