date,relative_sea_level,satellite
1992.985,-33.2,TOPEX
1993.01,-30.92,TOPEX
1993.039,-32.98,TOPEX
1993.064,-35.79,TOPEX
1993.096,-36.62,TOPEX
1993.119,-33.87,TOPEX
1993.147,-29.43,TOPEX
1993.175,-28.25,TOPEX
1993.202,-28.21,TOPEX
1993.229,-28.89,TOPEX
1993.283,-30.91,TOPEX
1993.311,-26.05,TOPEX
1993.338,-27.5,TOPEX
1993.365,-26.45,TOPEX
1993.392,-30.27,TOPEX
1993.419,-30.91,TOPEX
1993.446,-28.24,TOPEX
1993.474,-25.42,TOPEX
1993.501,-25.05,TOPEX
