date,relative_sea_level,satellite
1993.528,-24.94,TOPEX
1993.582,-30.16,TOPEX
1993.61,-29.05,TOPEX
1993.637,-26.28,TOPEX
1993.664,-25.33,TOPEX
1993.691,-28.26,TOPEX
1993.717,-31.11,TOPEX
1993.745,-29.1,TOPEX
1993.772,-25.27,TOPEX
1993.799,-27.57,TOPEX
1993.854,-27.92,TOPEX
1993.881,-29.84,TOPEX
1993.908,-28.98,TOPEX
1993.935,-27.26,TOPEX
1993.963,-22.23,TOPEX
1993.989,-23.47,TOPEX
1994.017,-29.35,TOPEX
1994.044,-26.33,TOPEX
1994.071,-24.75,TOPEX
