mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-04-08 08:58:25.059140096,60.1829,-140.7541,647.0,21.0,-64.0,37.3,644.0,20.7,65,S,2B,3413
2018-10-13 08:46:56.059140096,60.1829,-140.7541,521.0,3.0,-88.0,5.5,514.0,3.2,475,S,2A,3413
2018-04-29 08:52:04.059140096,60.1829,-140.7541,605.0,28.0,-75.0,32.4,600.0,28.2,34,S,2A,3413
2020-10-29 20:48:29.059140352,60.1829,-140.7541,550.0,8.0,-89.0,11.0,543.0,7.8,209,S,2A,3413
2018-01-26 20:54:10.559140096,60.1829,-140.7541,484.0,7.0,-71.0,10.3,479.0,7.0,179,S,2B,3413
2019-12-07 20:58:28.559140096,60.1829,-140.7541,560.0,5.0,-85.0,6.0,553.0,4.8,309,S,2A,3413
2019-03-15 08:58:26.059140096,60.1829,-140.7541,594.0,17.0,-65.0,26.4,590.0,17.2,95,S,2A,3413
2019-10-01 02:55:11.746308864,60.1829,-140.7541,419.0,21.0,-47.0,20.3,416.0,20.8,60,S,1A,3413
2017-12-22 08:46:51.559140096,60.1829,-140.7541,468.0,12.0,-61.0,15.6,464.0,11.6,84,S,2A,3413
2019-12-22 20:58:29.559140096,60.1829,-140.7541,565.0,3.0,-87.0,4.4,558.0,3.4,340,S,2A,3413
2019-11-04 20:56:10.559140096,60.1829,-140.7541,571.0,3.0,-93.0,4.2,563.0,3.4,409,S,2A,3413
2019-07-23 08:57:21.559140352,60.1829,-140.7541,553.0,3.0,-97.0,7.7,544.0,2.8,525,S,2B,3413
2018-07-18 08:51:18.059140096,60.1829,-140.7541,492.0,12.0,-68.0,14.2,488.0,12.3,125,S,2B,3413
2019-03-14 20:54:58.059140096,60.1829,-140.7541,634.0,26.0,-72.0,39.4,630.0,25.8,30,S,2B,3413
2019-08-29 08:48:29.059140352,60.1829,-140.7541,413.0,21.0,-83.0,31.3,405.0,20.9,34,S,2A,3413
2018-10-23 21:01:50.559140352,60.1829,-140.7541,480.0,3.0,-80.0,3.8,474.0,2.8,320,S,2B,3413
2019-09-15 20:50:18.559140096,60.1829,-140.7541,572.0,2.0,-92.0,4.4,565.0,2.1,399,S,2B,3413
2020-02-25 08:48:30.059140096,60.1829,-140.7541,636.0,7.0,-83.0,15.0,631.0,6.3,215,S,2A,3413
2019-09-03 08:48:33.059140096,60.1829,-140.7541,449.0,14.0,-77.0,32.5,442.0,13.1,94,S,2B,3413
2018-12-02 20:54:49.559140096,60.1829,-140.7541,465.0,11.0,-77.0,11.8,458.0,10.6,150,S,2A,3413
2018-07-15 08:44:16.559140096,60.1829,-140.7541,507.0,11.0,-71.0,13.2,502.0,11.0,114,S,2A,3413
2018-03-09 20:45:08.559140096,60.1829,-140.7541,546.0,6.0,-73.0,12.2,541.0,6.3,229,S,2B,3413
2018-03-02 08:44:12.559140096,60.1829,-140.7541,550.0,16.0,-53.0,47.1,548.0,15.1,54,S,2B,3413
2018-11-12 20:54:25.059140096,60.1829,-140.7541,518.0,3.0,-87.0,4.6,511.0,3.2,420,S,2B,3413
2020-07-04 20:58:22.559140096,60.1829,-140.7541,605.0,11.0,-93.0,14.6,598.0,11.1,140,S,2B,3413
2018-07-07 20:42:02.559140096,60.1829,-140.7541,518.0,10.0,-69.0,13.0,514.0,10.3,120,S,2A,3413
2018-08-24 08:48:45.059140096,60.1829,-140.7541,492.0,2.0,-78.0,2.7,485.0,1.6,375,S,2A,3413
2018-09-28 20:56:26.559139840,60.1829,-140.7541,511.0,3.0,-80.0,4.9,505.0,3.0,430,S,2B,3413
2020-02-10 20:58:28.559140096,60.1829,-140.7541,608.0,6.0,-83.0,10.8,602.0,5.7,240,S,2A,3413
2019-03-10 09:05:22.059140096,60.1829,-140.7541,587.0,22.0,-51.0,35.3,585.0,22.3,45,S,2A,3413
2019-09-13 08:48:26.059140096,60.1829,-140.7541,570.0,3.0,-92.0,5.1,563.0,2.4,404,S,2A,3413
2018-10-23 03:02:33.712783104,60.1829,-140.7541,396.0,44.0,-4.0,44.5,396.0,43.5,23,S,1B,3413
2018-09-15 20:43:05.059140352,60.1829,-140.7541,304.0,26.0,-38.0,37.2,302.0,25.4,30,S,2B,3413
2018-05-09 08:55:33.059140096,60.1829,-140.7541,587.0,13.0,-75.0,18.1,582.0,12.5,145,S,2B,3413
2018-10-01 08:59:23.059140096,60.1829,-140.7541,478.0,3.0,-79.0,5.5,471.0,3.4,315,S,2B,3413
2021-03-16 20:58:20.559140096,60.1829,-140.7541,697.0,52.0,-74.0,55.4,693.0,52.1,59,S,2A,3413
2018-01-14 08:52:10.059140096,60.1829,-140.7541,469.0,7.0,-104.0,7.5,457.0,7.4,225,S,2A,3413
2018-05-26 20:50:19.059140096,60.1829,-140.7541,605.0,17.0,-84.0,23.8,599.0,17.4,80,S,2B,3413
2020-09-02 08:48:22.059140096,60.1829,-140.7541,618.0,3.0,-97.0,6.6,611.0,2.8,425,S,2B,3413
2019-11-17 03:02:39.904497920,60.1829,-140.7541,560.0,91.0,-86.0,93.1,553.0,91.2,11,S,1B,3413
2019-10-11 09:02:13.059140096,60.1829,-140.7541,579.0,3.0,-95.0,5.1,571.0,3.1,434,S,2A,3413
2020-04-10 20:58:20.559140096,60.1829,-140.7541,672.0,25.0,-81.0,36.1,667.0,25.2,29,S,2B,3413
2018-09-20 20:47:16.059140096,60.1829,-140.7541,480.0,4.0,-79.0,6.7,473.0,3.6,320,S,2B,3413
2018-04-09 08:52:05.559140352,60.1829,-140.7541,582.0,29.0,-45.0,40.4,580.0,28.9,35,S,2A,3413
2018-11-25 09:04:34.059140096,60.1829,-140.7541,460.0,6.0,-67.0,8.2,455.0,6.2,255,S,2A,3413
2018-03-09 20:43:27.559140096,60.1829,-140.7541,541.0,19.0,-53.0,38.0,538.0,19.0,39,S,2A,3413
2018-12-16 03:02:32.460777728,60.1829,-140.7541,403.0,93.0,-27.0,96.4,402.0,93.2,11,S,1B,3413
2017-10-11 08:53:50.059140096,60.1829,-140.7541,366.0,35.0,-68.0,41.6,359.0,34.3,35,S,2A,3413
2019-07-27 20:48:35.559140096,60.1829,-140.7541,511.0,35.0,-104.0,46.4,500.0,34.6,19,S,2B,3413
2020-08-05 20:48:23.059140096,60.1829,-140.7541,603.0,2.0,-96.0,5.0,595.0,2.3,370,S,2B,3413
2018-10-23 20:54:25.059140096,60.1829,-140.7541,496.0,2.0,-77.0,2.6,490.0,2.2,380,S,2B,3413
2020-07-09 08:48:28.059140096,60.1829,-140.7541,603.0,3.0,-97.0,6.5,595.0,2.7,484,S,2A,3413
2019-12-04 20:48:31.059140096,60.1829,-140.7541,555.0,4.0,-87.0,5.2,548.0,3.8,319,S,2B,3413
2018-06-20 08:47:21.559140096,60.1829,-140.7541,479.0,2.0,-82.0,2.5,471.0,2.3,455,S,2B,3413
2018-12-02 20:57:26.059140096,60.1829,-140.7541,448.0,13.0,-80.0,14.4,441.0,13.0,110,S,2A,3413
2018-05-03 20:41:05.059140096,60.1829,-140.7541,613.0,62.0,-79.0,72.7,607.0,61.6,10,S,2A,3413
2019-01-01 21:02:44.559140096,60.1829,-140.7541,489.0,7.0,-70.0,8.2,484.0,6.7,180,S,2B,3413
2019-08-27 08:58:30.059140096,60.1829,-140.7541,450.0,16.0,-86.0,29.2,441.0,15.2,94,S,2B,3413
2019-05-09 09:04:09.559140096,60.1829,-140.7541,631.0,19.0,-78.0,27.2,626.0,19.0,84,S,2A,3413
2018-12-12 08:46:33.559139840,60.1829,-140.7541,500.0,9.0,-77.0,11.2,494.0,9.4,145,S,2B,3413
2018-09-17 03:02:32.969825024,60.1829,-140.7541,285.0,21.0,-65.0,18.6,277.0,20.6,48,S,1B,3413
2019-01-31 08:45:09.059140096,60.1829,-140.7541,502.0,2.0,-91.0,3.7,494.0,2.1,535,S,2A,3413
2020-02-14 15:48:42.877139968,60.1829,-140.7541,688.0,118.0,-192.0,96.2,661.0,119.3,11,S,1A,3413
2019-02-03 08:54:55.559140096,60.1829,-140.7541,550.0,5.0,-94.0,6.3,542.0,4.5,275,S,2A,3413
2018-11-05 08:58:11.059140096,60.1829,-140.7541,466.0,6.0,-63.0,9.2,462.0,6.1,245,S,2B,3413
2019-12-14 20:48:24.059140096,60.1829,-140.7541,562.0,10.0,-68.0,15.5,558.0,10.1,99,S,2B,3413
2018-07-03 08:50:49.059139840,60.1829,-140.7541,506.0,10.0,-81.0,12.0,499.0,9.5,155,S,2B,3413
2019-02-20 21:04:50.059140096,60.1829,-140.7541,671.0,44.0,-45.0,110.4,670.0,43.7,10,S,2A,3413
2018-10-08 21:01:21.559140096,60.1829,-140.7541,517.0,2.0,-82.0,3.4,510.0,2.4,350,S,2B,3413
2020-06-22 08:58:26.559140096,60.1829,-140.7541,673.0,19.0,-95.0,23.7,666.0,19.2,75,S,2B,3413
2019-09-10 20:50:19.059140096,60.1829,-140.7541,579.0,2.0,-93.0,3.6,571.0,1.9,389,S,2B,3413
2018-05-16 08:42:22.559140096,60.1829,-140.7541,649.0,17.0,-83.0,22.2,644.0,16.8,95,S,2A,3413
2020-01-03 15:48:44.193871616,60.1829,-140.7541,541.0,68.0,-80.0,50.8,535.0,68.5,23,S,1A,3413
2018-10-03 20:56:45.059140096,60.1829,-140.7541,371.0,24.0,-84.0,36.1,361.0,23.4,59,S,2B,3413
2020-08-13 20:58:27.559139840,60.1829,-140.7541,541.0,8.0,-89.0,20.3,534.0,7.5,189,S,2A,3413
2018-11-24 20:51:13.059140096,60.1829,-140.7541,452.0,6.0,-66.0,8.2,447.0,5.9,250,S,2B,3413
2018-03-17 08:45:49.559140096,60.1829,-140.7541,513.0,6.0,-72.0,11.8,508.0,5.4,254,S,2A,3413
2020-04-20 08:48:30.559139840,60.1829,-140.7541,591.0,2.0,-94.0,2.8,583.0,2.4,365,S,2A,3413
2018-09-13 20:54:21.559139840,60.1829,-140.7541,480.0,5.0,-80.0,9.8,474.0,4.3,300,S,2B,3413
2018-06-25 08:42:17.059140096,60.1829,-140.7541,536.0,9.0,-84.0,11.3,529.0,8.6,144,S,2B,3413
2018-07-30 20:54:32.059140096,60.1829,-140.7541,484.0,6.0,-62.0,10.4,480.0,6.2,190,S,2B,3413
2018-11-21 15:48:39.139966976,60.1829,-140.7541,388.0,38.0,-56.0,28.4,384.0,38.6,47,S,1A,3413
2019-11-02 08:48:29.059140352,60.1829,-140.7541,510.0,37.0,-101.0,43.8,500.0,36.5,15,S,2B,3413
2020-01-04 08:58:24.559140096,60.1829,-140.7541,587.0,8.0,-81.0,16.0,581.0,8.2,164,S,2A,3413
2019-02-15 20:57:29.559140096,60.1829,-140.7541,561.0,5.0,-90.0,7.8,554.0,5.3,260,S,2A,3413
2019-12-05 08:58:25.059140096,60.1829,-140.7541,549.0,6.0,-82.0,6.8,543.0,5.5,304,S,2A,3413
2020-08-16 08:58:28.559140096,60.1829,-140.7541,519.0,12.0,-81.0,22.2,513.0,11.7,134,S,2A,3413
2017-11-05 08:54:21.059140096,60.1829,-140.7541,489.0,2.0,-80.0,2.5,482.0,2.3,364,S,2A,3413
2019-08-27 08:58:21.059140096,60.1829,-140.7541,591.0,3.0,-96.0,5.3,583.0,2.5,385,S,2A,3413
2020-11-03 20:48:29.559140096,60.1829,-140.7541,484.0,37.0,-72.0,42.5,479.0,37.3,29,S,2B,3413
2019-02-05 20:55:48.059140096,60.1829,-140.7541,572.0,5.0,-91.0,8.6,565.0,4.8,250,S,2B,3413
2018-09-05 20:41:55.059140096,60.1829,-140.7541,327.0,49.0,-35.0,66.4,325.0,48.6,10,S,2B,3413
2019-10-15 20:48:28.059140096,60.1829,-140.7541,509.0,7.0,-86.0,13.1,502.0,6.3,219,S,2B,3413
2019-02-18 09:02:13.559140096,60.1829,-140.7541,505.0,28.0,-6.0,63.2,505.0,28.4,35,S,2B,3413
