-360 Ref_Nlat *Dot#
-64.5843 17.7568986894 CRO1
-122.913 46.2746000063 CROK
-122.913 46.2746000310 CROK
-122.913 46.2746000286 CROK
-122.913 46.2746000317 CROK
-115.735 33.0698079424 CRRS
-115.735 33.0698079242 CRRS
-115.735 33.0698078949 CRRS
-115.735 33.0698079259 CRRS
-115.735 33.0698076511 CRRS
-115.735 33.0698076884 CRRS
-115.735 33.0698077120 CRRS
-115.735 33.0698077394 CRRS
-119.039 34.1684033935 CSCI
-119.039 34.1684033898 CSCI
-119.039 34.1684034038 CSCI
-118.257 33.8614776989 CSDH
-118.257 33.8614776858 CSDH
-118.257 33.8614776544 CSDH
-118.257 33.8614776727 CSDH
-118.257 33.8614776938 CSDH
-118.257 33.8614776917 CSDH
-118.257 33.8614777181 CSDH
-121.732 46.8707272434 CSHQ
-122.236 47.3805716215 CSKI
-122.236 47.3805716070 CSKI
-122.236 47.3805715924 CSKI
-122.236 47.3805715541 CSKI
-118.524 34.2535499572 CSN1
-118.524 34.2535499138 CSN1
-118.524 34.2535499492 CSN1
-118.524 34.2535499350 CSN1
-118.524 34.2535499741 CSN1
-118.524 34.2535499946 CSN1
-119.371 34.4080906899 CSST
-119.371 34.4080907042 CSST
-119.371 34.4080907109 CSST
-118.613 34.5165497798 CTDM
-118.613 34.5165497797 CTDM
-118.613 34.5165498197 CTDM
-118.613 34.5165499143 CTDM
-116.37 34.1240996289 CTMS
-116.37 34.1241004520 CTMS
-116.37 34.1241004148 CTMS
-116.37 34.1241004303 CTMS
-116.37 34.1241004325 CTMS
-72.5128 7.9322752297 CUC1
-119.674 34.9426467532 CUHS
-119.674 34.9426466748 CUHS
-119.674 34.9426466339 CUHS
-119.674 34.9426467445 CUHS
-117.902 34.0820112018 CVHS
-117.902 34.0820112280 CVHS
-117.902 34.0820112213 CVHS
-117.902 34.0820111897 CVHS
-117.902 34.0820112326 CVHS
-117.902 34.0820113117 CVHS
-117.902 34.0820113702 CVHS
-89.6435 35.5414213865 CVMS
-89.6435 35.5414213694 CVMS
-89.6435 35.5414214372 CVMS
-89.6435 35.5414214348 CVMS
-115.419 32.2245020302 DAEX
-118.397 34.3348354294 DAM2
-118.397 34.3348354369 DAM2
-118.397 34.3348354287 DAM2
-118.397 34.3348353568 DAM2
-118.397 34.3348354209 DAM2
-118.397 34.3348354042 DAM2
-118.397 34.3348354420 DAM2
-118.397 34.3339911141 DAM3
-118.397 34.3339913564 DAM3
-118.397 34.3339913322 DAM3
-118.397 34.3339914012 DAM3
-123.244 43.1187908309 DDSN
-123.244 43.1187908235 DDSN
-123.244 43.1187908108 DDSN
-123.244 43.1187907915 DDSN
-117.164 48.1367716884 DMND
-117.164 48.1367716923 DMND
-119.69 37.2642541421 DOND
-119.69 37.2642543725 DOND
-119.69 37.2642546029 DOND
-105.261 39.9914307077 DSRC
-105.261 39.9914306839 DSRC
-105.261 39.9914307195 DSRC
-116.712 33.7333309855 DSSC
-116.712 33.7333309577 DSSC
-116.712 33.7333310718 DSSC
-116.712 33.7333310732 DSSC
-116.712 33.7333310920 DSSC
-117.846 35.2674647156 DTPG
-117.846 35.2674647683 DTPG
-117.846 35.2674651297 DTPG
-75.7512 36.1821521746 DUCK
-75.7512 36.1821520406 DUCK
-114.039 44.3830357333 DVCG
-114.039 44.3830357407 DVCG
-117.86 34.4134126137 DVPB
-117.86 34.4134125879 DVPB
-117.86 34.4134125874 DVPB
-117.86 34.4134125826 DVPB
-117.86 34.4134126665 DVPB
-118.039 37.7428034036 DYER
-118.039 37.7428033778 DYER
-118.039 37.7428033625 DYER
-118.039 37.7428033543 DYER
-118.127 33.9383154458 DYH2
-118.127 33.9383154777 DYH2
-118.329 33.8867510483 ECCO
-118.329 33.8867510397 ECCO
-118.329 33.8867510323 ECCO
-117.412 33.6476842421 ECFS
-117.412 33.6476842401 ECFS
-117.412 33.6476842677 ECFS
-118.83 34.9461944595 EDPP
-118.83 34.9461944549 EDPP
-118.83 34.9461944625 EDPP
-109.383 -27.1482096356 EISL
-109.383 -27.1482096635 EISL
-109.383 -27.1482096934 EISL
-109.383 -27.1482095844 EISL
-127.123 49.8730531633 ELIZ
-127.123 49.8730531518 ELIZ
-127.123 49.8730531376 ELIZ
-127.123 49.8730530550 ELIZ
-127.123 49.8730530900 ELIZ
-127.123 49.8730530835 ELIZ
-118.129 33.5834994138 ELLY
-118.129 33.5834994691 ELLY
-118.129 33.5834993932 ELLY
-86.6747 12.4658353263 ELMA
-86.6747 12.4658353076 ELMA
-86.6747 12.4658352889 ELMA
-118.208 34.0297337820 ELSC
-118.208 34.0297337840 ELSC
-118.208 34.0297337904 ELSC
-118.208 34.0297337957 ELSC
-118.208 34.0297312448 ELSC
-118.208 34.0297339045 ELSC
-118.208 34.0297339467 ELSC
-117.426 33.6491424260 ELSG
-117.426 33.6491424532 ELSG
-118.426 34.7031182379 ELTN
-118.426 34.7031182681 ELTN
-118.426 34.7031183466 ELTN
-119.77 34.4508482293 EOCG
-119.77 34.4508479463 EOCG
-119.77 34.4508479462 EOCG
-119.77 34.4508481114 EOCG
-119.77 34.4508480467 EOCG
-119.545 47.3293357824 EPHR
-119.545 47.3293358095 EPHR
-119.545 47.3293358412 EPHR
-119.545 47.3293358191 EPHR
-117.526 34.1041983193 EWPP
-117.526 34.1041983315 EWPP
-117.526 34.1041983088 EWPP
-117.526 34.1041983309 EWPP
-117.526 34.1041983552 EWPP
-118.442 34.0665926944 FCTF
-118.442 34.0665928004 FCTF
-118.442 34.0665903427 FCTF
-118.442 34.0665884574 FCTF
-120.009 34.7330098197 FGST
-120.009 34.7330098276 FGST
-120.009 34.7330098290 FGST
-116.936 34.0935470879 FHOG
-116.936 34.0935471089 FHOG
-116.936 34.0935471461 FHOG
-116.936 34.0935471554 FHOG
-118.894 34.4098644235 FMTP
-118.894 34.4098644773 FMTP
-118.894 34.4098644398 FMTP
-118.894 34.4098645110 FMTP
-118.884 34.3563367401 FMVT
-118.884 34.3563367209 FMVT
-118.884 34.3563367325 FMVT
-118.241 34.7339126525 FOXG
-118.241 34.7339126153 FOXG
-112.499 36.9883318391 FRED
-112.499 36.9883317977 FRED
-112.499 36.9883318023 FRED
-112.499 36.9883318309 FRED
-115.8 32.9449893150 FSHB
-115.8 32.9449890074 FSHB
-115.8 32.9449886998 FSHB
-115.8 32.9449886805 FSHB
-115.8 32.9449886690 FSHB
-118.893 34.8001933474 FZHS
-118.893 34.8001933644 FZHS
-118.893 34.8001933320 FZHS
-118.893 34.8001933301 FZHS
-118.893 34.8001933674 FZHS
-118.893 34.8001933606 FZHS
-118.893 34.8001933752 FZHS
-82.1338 33.5457584828 GACC
-82.1338 33.5457584949 GACC
-82.1338 33.5457584654 GACC
-81.1888 35.3110605162 GAST
-81.1888 35.3110604853 GAST
-81.378 19.2930200501 GCEA
-81.378 19.2930199961 GCEA
-81.378 19.2930202978 GCEA
-81.1835 19.3128620314 GCFS
-81.1835 19.3128619835 GCFS
-81.1835 19.3128621494 GCFS
-119.864 35.1894152907 GDEC
-119.864 35.1894152806 GDEC
-119.864 35.1894152710 GDEC
-119.864 35.1894153191 GDEC
-119.864 35.1894153169 GDEC
-119.864 35.1894153227 GDEC
-117.398 34.2038891400 GHRP
-117.398 34.2038891925 GHRP
-117.398 34.2038892517 GHRP
-117.398 34.2038891826 GHRP
-117.398 34.2038894873 GHRP
-117.398 34.2038895602 GHRP
-117.398 34.2038896087 GHRP
-117.398 34.2038897561 GHRP
-126.127 49.6814857388 GLDR
-126.127 49.6814857189 GLDR
-126.127 49.6814856894 GLDR
-126.127 49.6814857615 GLDR
-115.521 33.2748123624 GLRS
-115.521 33.2748123128 GLRS
-115.521 33.2748122633 GLRS
-115.521 33.2748122421 GLRS
-115.521 33.2748120644 GLRS
-115.521 33.2748120431 GLRS
-115.521 33.2748120224 GLRS
-115.521 33.2748120321 GLRS
-116.383 34.2914349794 GMAG
-116.383 34.2914349912 GMAG
-115.66 34.7839975877 GMRC
-115.66 34.7839975866 GMRC
-115.66 34.7839975719 GMRC
-115.66 34.7839975701 GMRC
-72.8595 18.4350939101 GOA2
-120.815 45.8388183768 GOBS
-120.815 45.8388183862 GOBS
-116.889 35.4251558738 GOL2
-116.889 35.4251558681 GOL2
-116.889 35.4251558596 GOL2
-116.889 35.4251558741 GOL2
-116.889 35.4251558032 GOL2
-116.889 35.4251558457 GOLD
-116.889 35.4251558133 GOLD
-116.889 35.4251558008 GOLD
-116.889 35.4251558134 GOLD
-116.889 35.4251557440 GOLD
-117.665 48.1435856660 GRCK
-117.665 48.1435856639 GRCK
-117.665 48.1435856342 GRCK
-117.665 48.1435856491 GRCK
-117.665 48.1435856765 GRCK
-117.665 48.1435856722 GRCK
-117.665 48.1435856518 GRCK
-61.6404 12.2217544739 GRE1
-123.023 46.7954860576 GRMD
-123.023 46.7954860911 GRMD
-123.023 46.7954860941 GRMD
-123.023 46.7954860921 GRMD
-123.023 46.7954861050 GRMD
-123.023 46.7954861462 GRMD
-148.978 63.8354993597 GRNX
-123.297 42.4344942517 GTPS
-123.297 42.4344942372 GTPS
-123.297 42.4344942356 GTPS
-123.297 42.4344942911 GTPS
-118.29 28.8840597737 GUAX
-118.29 28.8840596251 GUAX
-118.29 28.8840596447 GUAX
-118.113 34.0474469852 GVRS
-118.113 34.0474469957 GVRS
-118.113 34.0474469862 GVRS
-118.113 34.0474469734 GVRS
-118.113 34.0474470082 GVRS
-117.299 35.0115409825 HAR7
-117.299 35.0115410228 HAR7
-117.299 35.0115411937 HAR7
-118.286 33.7836463030 HBCO
-118.286 33.7836463209 HBCO
-118.286 33.7836462922 HBCO
-118.286 33.7836462903 HBCO
-89.1718 36.3326048973 HCES
-89.1718 36.3326048512 HCES
-89.1718 36.3326049304 HCES
-89.1718 36.3326049098 HCES
-89.1718 36.3327187378 HCEX
-89.1718 36.3327186636 HCEX
-89.1718 36.3327186972 HCEX
-89.1718 36.3327186957 HCEX
-116.43 34.7547738386 HCMN
-116.43 34.7547738537 HCMN
-116.43 34.7547738315 HCMN
-116.43 34.7547738497 HCMN
-121.47 40.8159172925 HCRO
-121.47 40.8159172970 HCRO
-121.47 40.8159172915 HCRO
-121.47 40.8159172870 HCRO
-38.2157 66.4011568607 HEL2
-38.2157 66.4011568543 HEL2
-117.799 34.7599197966 HIVI
-117.799 34.7599198076 HIVI
-117.799 34.7599198185 HIVI
-117.799 34.7599198879 HIVI
-117.799 34.7599200083 HIVI
-117.002 33.7080976130 HMTG
-117.002 33.7080976391 HMTG
-120.479 35.8667149297 HOGS
-120.479 35.8667148556 HOGS
-120.479 35.8667151768 HOGS
-120.479 35.8667151723 HOGS
-117.845 34.4581552107 HOL3
-117.845 34.4581552121 HOL3
-117.845 34.4581551951 HOL3
-117.845 34.4581552718 HOL3
-117.761 70.7363036109 HOLM
-117.761 70.7363036131 HOLM
-118.821 37.6585881698 HOTK
-118.821 37.6585881702 HOTK
-118.821 37.6585881352 HOTK
-120.402 35.8808127970 HUNT
-120.402 35.8808127343 HUNT
-120.402 35.8808124331 HUNT
-120.402 35.8808124304 HUNT
-121.849 44.1195262288 HUSB
-121.849 44.1195262856 HUSB
-121.849 44.1195262838 HUSB
-110.536 44.6136010921 HVWY
-110.536 44.6136008849 HVWY
-119.188 34.4412312084 HVYS
-119.188 34.4412311890 HVYS
-119.188 34.4412312043 HVYS
-115.911 34.7273249346 I40A
-115.911 34.7273249130 I40A
-115.911 34.7273249128 I40A
-113.172 29.0265606831 IAGX
-116.239 33.7679736758 IDQG
-116.239 33.7679736717 IDQG
-116.239 33.7679736984 IDQG
-113.897 45.1920731597 IDSN
-113.897 45.1920731393 IDSN
-113.897 45.1920731946 IDSN
-111.584 42.6862762605 IDSS
-115.032 32.7061690655 IID2
-115.032 32.7061690208 IID2
-115.032 32.7061689765 IID2
-115.032 32.7061689265 IID2
-115.032 32.7061687349 IID2
-115.032 32.7061686952 IID2
-89.6103 39.7786351865 ILSA
-89.6103 39.7786351783 ILSA
-85.5149 39.3598453313 INGG
-85.5149 39.3598454290 INGG
-118.474 35.6622709080 ISLK
-118.474 35.6622708675 ISLK
-118.474 35.6622708769 ISLK
-118.474 35.6622708807 ISLK
-118.474 35.6622708862 ISLK
-118.474 35.6622708782 ISLK
-117.955 34.4490650662 JNHG
-117.955 34.4490650604 JNHG
-117.955 34.4490651313 JNHG
-119.085 37.7717437906 JNPX
-118.173 34.2048201263 JPLM
-118.173 34.2048200575 JPLM
-118.173 34.2048201197 JPLM
-118.173 34.2048201768 JPLM
-122.227 37.4062493295 JRSC
-119.008 34.3985279848 KBRC
-119.008 34.3985279954 KBRC
-119.008 34.3985280434 KBRC
-119.008 34.3985280303 KBRC
-119.008 34.3985280255 KBRC
-119.008 34.3985280685 KBRC
-119.008 34.3985281073 KBRC
-151.35 60.6750772900 KEN5
-151.35 60.6750773002 KEN5
-151.35 60.6750772689 KEN5
-151.35 60.6750773297 KEN5
-151.35 60.6748031867 KEN6
-151.35 60.6748031861 KEN6
-151.35 60.6748031459 KEN6
-151.35 60.6748031850 KEN6
-119.159 46.1978837029 KENI
-119.159 46.1978837145 KENI
-119.159 46.1978837162 KENI
-119.159 46.1978837169 KENI
-119.159 46.1978836914 KENI
-86.7017 12.4943196758 KIOS
-86.7017 12.4943195461 KIOS
-86.7017 12.4943194780 KIOS
-118.979 37.6591177877 KNOL
-118.979 37.6591177582 KNOL
-118.979 37.6591177679 KNOL
-118.979 37.6591177238 KNOL
-118.979 37.6591180307 KNOL
-118.979 37.6591179878 KNOL
-152.193 57.6176905736 KOD1
-152.193 57.6176906721 KOD1
-152.193 57.6176908756 KOD1
-159.665 22.1262636006 KOKB
-159.665 22.1262635909 KOKB
-159.665 22.1262635852 KOKB
-159.665 22.1262632397 KOKB
-159.665 22.1262635939 KOKB
-118.88 37.7133105542 KRAC
-118.88 37.7133104636 KRAC
-118.88 37.7133105414 KRAC
-97.8929 27.5459506807 KVTX
-97.8929 27.5459506927 KVTX
-97.8929 27.5459506825 KVTX
-97.8929 27.5459506819 KVTX
-84.4922 38.0755533432 KYTG
-83.7596 37.1514555364 KYTK
-83.7596 37.1514556465 KYTK
-83.7596 37.1514556193 KYTK
-116.173 33.9253691404 KYVW
-116.173 33.9253690953 KYVW
-116.173 33.9253690922 KYVW
-116.173 33.9253690999 KYVW
-84.9603 9.8070627574 LAFE
-84.9603 9.8070623228 LAFE
-84.9603 9.8070624427 LAFE
-84.9603 9.8070624813 LAFE
-84.9603 9.8070623756 LAFE
-84.9603 9.8070623407 LAFE
-73.9089 41.0045182636 LAMT
-120.473 35.8997904304 LAND
-120.473 35.8997903735 LAND
-120.473 35.8997903078 LAND
-120.473 35.8997906023 LAND
-120.473 35.8997906005 LAND
-120.473 35.8997906414 LAND
-84.6633 42.6738839890 LANS
-84.6633 42.6738839859 LANS
-118.575 34.1819221739 LAPC
-118.575 34.1819221949 LAPC
-118.575 34.1819221642 LAPC
-118.575 34.1819221167 LAPC
-118.575 34.1819221275 LAPC
-118.575 34.1819221368 LAPC
-118.137 33.8320699369 LBC1
-118.137 33.8320699553 LBC1
-118.137 33.8320699153 LBC1
-118.137 33.8320699299 LBC1
-118.137 33.8320699398 LBC1
-118.137 33.8320699530 LBC1
-118.173 33.7916093906 LBC2
-118.173 33.7916093924 LBC2
-118.173 33.7916093995 LBC2
-118.173 33.7916093903 LBC2
-118.173 33.7916093779 LBC2
-118.173 33.7916094132 LBC2
-118.203 33.7877699914 LBCH
-118.203 33.7877700255 LBCH
-118.203 33.7877698900 LBCH
-118.203 33.7877699101 LBCH
-118.203 33.7877699021 LBCH
-118.203 33.7877699382 LBCH
-89.4721 36.3764184506 LCHS
-89.4721 36.3764184323 LCHS
-80.0821 19.6675602630 LCSB
-80.0821 19.6675602358 LCSB
-80.0821 19.6675608664 LCSB
-116.433 34.2673377311 LDES
-116.433 34.2673392472 LDES
-116.433 34.2673392304 LDES
-116.433 34.2673392329 LDES
-116.433 34.2673392534 LDES
-116.433 34.2673392730 LDES
-116.209 34.6994270078 LDSW
-116.209 34.6994269791 LDSW
-116.209 34.6994269868 LDSW
-26.2935 80.4566821083 LEFN
-26.2935 80.4566821165 LEFN
-119.782 36.2920251554 LEMA
-119.782 36.2920249827 LEMA
-119.782 36.2920248099 LEMA
-119.782 36.2920248912 LEMA
-118.413 34.0950706026 LFRS
-118.413 34.0950705907 LFRS
-118.413 34.0950705679 LFRS
-118.413 34.0950705730 LFRS
-118.413 34.0950706012 LFRS
-118.413 34.0950706213 LFRS
-117.764 33.6405968372 LGWD
-117.764 33.6405968607 LGWD
-119.017 37.6371927098 LINC
-119.017 37.6371926820 LINC
-119.017 37.6371927058 LINC
-119.017 37.6371927230 LINC
-119.017 37.6371927558 LINC
-119.017 37.6371927256 LINC
-118.139 34.6620218402 LINJ
-118.139 34.6620218623 LINJ
-118.139 34.6620218406 LINJ
-118.139 34.6620218367 LINJ
-118.139 34.6620218333 LINJ
-118.139 34.6620218278 LINJ
-118.139 34.6620218847 LINJ
-118.868 34.8075239134 LJRN
-118.868 34.8075239198 LJRN
-118.868 34.8075236380 LJRN
-118.868 34.8075236374 LJRN
-118.868 34.8075236490 LJRN
-116.759 33.2360071660 LKHG
-110.4 44.5650761165 LKWY
-110.4 44.5650759056 LKWY
-117.835 34.4854580018 LL01
-117.835 34.4854579969 LL01
-117.835 34.4854579888 LL01
-117.835 34.4854580137 LL01
-117.835 34.4854580386 LL01
-117.835 34.4854579869 LL01
-117.835 34.4854579828 LL01
-117.835 34.4854580365 LL01
-117.835 34.4854581096 LL01
-117.838 34.5859751404 LLAS
-117.838 34.5859751352 LLAS
-117.838 34.5859751672 LLAS
-117.838 34.5859751664 LLAS
-117.838 34.5859752578 LLAS
-117.391 33.7442015218 LMHG
-117.391 33.7442015222 LMHG
-117.391 33.7442015520 LMHG
-122.758 47.2187855721 LNGB
-122.758 47.2187855435 LNGB
-122.758 47.2187855688 LNGB
-122.758 47.2187855518 LNGB
-122.758 47.2187855897 LNGB
-116.94 35.0902017383 LNMT
-116.94 35.0902017167 LNMT
-116.94 35.0902017274 LNMT
-116.94 35.0902017671 LNMT
-118.003 34.1118996265 LONG
-118.003 34.1118995993 LONG
-118.003 34.1118995749 LONG
-118.003 34.1118995256 LONG
-118.003 34.1118994838 LONG
-118.003 34.1118995933 LONG
-118.003 34.1118996093 LONG
-117.754 34.1333271873 LORS
-117.754 34.1333271598 LORS
-117.754 34.1333271701 LORS
-117.754 34.1333272088 LORS
-117.546 34.3148644356 LPCG
-117.546 34.3148644248 LPCG
-117.546 34.3148644157 LPCG
-117.546 34.3148643974 LPCG
-117.546 34.3148644310 LPCG
-117.546 34.3148644785 LPCG
-117.957 34.0267694656 LPHS
-117.957 34.0267695186 LPHS
-117.957 34.0267694751 LPHS
-117.957 34.0267694333 LPHS
-117.957 34.0267693915 LPHS
-117.957 34.0267693883 LPHS
-118.03 34.5270603457 LRRG
-118.03 34.5270603464 LRRG
-118.03 34.5270604210 LRRG
-117.164 47.2824282536 LTAH
-117.164 47.2824282444 LTAH
-117.164 47.2824282432 LTAH
-117.164 47.2824282554 LTAH
-117.164 47.2824282493 LTAH
-117.164 47.2824282641 LTAH
-121.865 37.2868513618 LUTZ
-121.865 37.2868513385 LUTZ
-121.865 37.2868513488 LUTZ
-121.865 37.2868513142 LUTZ
-121.865 37.2868513020 LUTZ
-121.865 37.2868512351 LUTZ
-119.104 34.7336058804 LVMS
-119.104 34.7336058458 LVMS
-119.104 34.7336058369 LVMS
-119.104 34.7336058409 LVMS
-119.104 34.7336058894 LVMS
-119.104 34.7336058893 LVMS
-119.104 34.7336059028 LVMS
-124.054 46.2781335653 LWCK
-124.054 46.2781335633 LWCK
-77.0023 41.2409811059 LYCO
-77.0023 41.2409810694 LYCO
-77.0023 41.2409810329 LYCO
-77.0023 41.2409810634 LYCO
-90.4845 37.8450828619 MACC
-90.4845 37.8450828604 MACC
-90.4845 37.8450828577 MACC
-90.4845 37.8450828212 MACC
-90.4845 37.8450828417 MACC
-90.4845 37.8450828103 MACC
-86.249 12.1489387551 MANA
-86.249 12.1489388104 MANA
-86.249 12.1489388782 MANA
-86.249 12.1489384708 MANA
-86.249 12.1489386097 MANA
-86.249 12.1489386641 MANA
-342.741 60.5951445170 MAR6
-342.741 60.5951445054 MAR6
-342.741 60.5951444811 MAR6
-342.741 60.5951444860 MAR6
-72.7578 19.0521453086 MARC
-72.7578 19.0521454067 MARC
-120.443 35.8325971852 MASW
-120.443 35.8325971409 MASW
-120.443 35.8325974792 MASW
-120.443 35.8325974884 MASW
-117.437 33.8567606712 MAT2
-117.437 33.8567606737 MAT2
-117.437 33.8567607068 MAT2
-106.187 41.9035857338 MBWW
-89.7022 36.1196213453 MCTY
-89.7022 36.1196213495 MCTY
-89.7022 36.1196213332 MCTY
-89.7022 36.1196213492 MCTY
-104.015 30.6805108884 MDO1
-104.015 30.6805108079 MDO1
-104.015 30.6805108115 MDO1
-104.015 30.6805108588 MDO1
-104.015 30.6805109061 MDO1
-104.015 30.6805109535 MDO1
-104.015 30.6805110008 MDO1
-104.015 30.6805110078 MDO1
-115.979 36.6325119805 MERC
-115.979 36.6325119172 MERC
-115.979 36.6325119115 MERC
-115.979 36.6325118992 MERC
-335.605 60.2174728734 METS
-335.605 60.2174728966 METS
-335.605 60.2174728799 METS
-118.244 33.9390549107 MHMS
-118.244 33.9390549089 MHMS
-118.244 33.9390551408 MHMS
-118.244 33.9390551739 MHMS
-118.244 33.9390551383 MHMS
-118.244 33.9390552846 MHMS
-83.9799 43.9826523568 MIAR
-83.9799 43.9826523788 MIAR
-84.9799 41.9397102016 MICW
-84.9799 41.9397102072 MICW
-114.894 42.6142620503 MIDB
-83.5197 43.0499660537 MIDS
-83.5197 43.0499660549 MIDS
-84.6447 45.0265842809 MIGD
-84.6447 45.0265842878 MIGD
-118.126 34.1368332853 MILK
-118.126 34.1368333142 MILK
-119.061 37.6537634595 MINS
-119.061 37.6537633878 MINS
-119.061 37.6537633711 MINS
-119.061 37.6537634622 MINS
-119.061 37.6537634524 MINS
-117.55 33.7144820451 MJPK
-117.55 33.7144820874 MJPK
-117.55 33.7144820697 MJPK
-117.55 33.7144820976 MJPK
-155.456 19.8013548259 MKEA
-155.456 19.8013548546 MKEA
-155.456 19.8013548614 MKEA
-155.456 19.8013547407 MKEA
-155.456 19.8013547361 MKEA
-155.456 19.8013547215 MKEA
-155.456 19.8013547150 MKEA
-87.3918 32.0902608248 MLF1
-87.3918 32.0902608281 MLF1
-117.318 33.9184036302 MLFP
-117.318 33.9184036345 MLFP
-117.318 33.9184036158 MLFP
-117.318 33.9184036321 MLFP
-117.318 33.9184036610 MLFP
-86.5409 12.4060902837 MOM0
-86.5409 12.4060896920 MOM0
-86.5409 12.4060896948 MOM0
-1.6855 55.2127911358 MORP
-84.7617 43.6150775385 MPLE
-84.7617 43.6150775376 MPLE
-118.878 34.2955116336 MPWD
-118.878 34.2955116365 MPWD
-118.878 34.2955116598 MPWD
-118.878 34.2955116403 MPWD
-118.878 34.2955116562 MPWD
-118.878 34.2955116808 MPWD
-116.648 34.0385022009 MSCG
-116.648 34.0385021789 MSCG
-116.648 34.0385021636 MSCG
-116.648 34.0385021759 MSCG
-116.648 34.0385021949 MSCG
-109.718 23.1604476994 MSD1
-117.21 34.2308442482 MSOB
-117.21 34.2308442557 MSOB
-117.21 34.2308442485 MSOB
-117.21 34.2308442527 MSOB
-117.21 34.2308442744 MSOB
-117.21 34.2308443121 MSOB
-116.647 33.1991645468 MTGG
-120.092 36.5650849289 MULN
-120.092 36.5650848554 MULN
-120.092 36.5650848044 MULN
-120.092 36.5650848361 MULN
-119.309 37.1699408962 MUSB
-119.309 37.1699409006 MUSB
-119.309 37.1699408826 MUSB
-119.309 37.1699408725 MUSB
-119.309 37.1699408341 MUSB
-119.309 37.1699408306 MUSB
-118.945 37.6405189680 MWTP
-118.945 37.6405189567 MWTP
-118.945 37.6405190758 MWTP
-118.945 37.6405191120 MWTP
-118.945 37.6405190463 MWTP
-110.049 40.1026630431 MYT2
-77.4623 25.0525391042 NAS0
-77.4623 25.0525390872 NAS0
-115.296 32.3242834605 NAYX
-78.0585 35.4213600474 NCGO
-78.0585 35.4213600471 NCGO
-78.0585 35.4213600263 NCGO
-78.7165 34.2804489377 NCWH
-78.7165 34.2804489414 NCWH
-78.7165 34.2804489374 NCWH
-114.619 34.7676884475 NDAP
-114.619 34.7676886364 NDAP
-114.619 34.7676886421 NDAP
-114.619 34.7676886639 NDAP
-124.625 48.2978546655 NEAH
-124.625 48.2978546612 NEAH
-124.625 48.2978546575 NEAH
-117.509 39.6856163805 NEWS
-117.509 39.6856163624 NEWS
-119.141 34.4986577187 NHRG
-119.141 34.4986576972 NHRG
-119.141 34.4986577128 NHRG
-121.797 47.4950976230 NINT
-121.797 47.4950976329 NINT
-121.797 47.4950976453 NINT
-91.5749 41.7715909136 NLIB
-91.5749 41.7715909677 NLIB
-91.5749 41.7715909721 NLIB
-107.726 32.2672676120 NMDE
-107.726 32.2672676260 NMDE
-107.726 32.2672676314 NMDE
-104.589 33.3949587187 NMRO
-104.589 33.3949587316 NMRO
-105.959 35.6737893800 NMSF
-105.959 35.6737893754 NMSF
-117.57 33.9197087183 NOCO
-117.57 33.9197086794 NOCO
-117.57 33.9197086405 NOCO
-117.57 33.9197089053 NOCO
-117.57 33.9197086132 NOCO
-117.57 33.9197086151 NOCO
-117.57 33.9197086198 NOCO
-117.57 33.9197086547 NOCO
-115.985 35.9694509386 NOPE
-115.985 35.9694509288 NOPE
-115.985 35.9694509245 NOPE
-118.348 33.9797364197 NOPK
-118.348 33.9797364196 NOPK
-118.348 33.9797364226 NOPK
-118.348 33.9797364031 NOPK
-118.348 33.9797363835 NOPK
-118.348 33.9797363647 NOPK
-118.348 33.9797363535 NOPK
-118.348 33.9797363292 NOPK
-118.348 33.9797363761 NOPK
-83.5686 45.0685845981 NOR3
-83.5686 45.0685846011 NOR3
-110.678 44.7148475887 NRWY
-110.678 44.7148476089 NRWY
-110.678 44.7148476566 NRWY
-126.617 49.5923630125 NTKA
-126.617 49.5923630160 NTKA
-126.617 49.5923629893 NTKA
-126.617 49.5923629667 NTKA
-126.617 49.5923630118 NTKA
-126.617 49.5923629924 NTKA
-114.896 42.6144989268 NTOE
-115.158 35.9698151494 NVBM
-115.158 35.9698151241 NVBM
-115.158 35.9698151631 NVBM
-115.158 35.9698151594 NVBM
-115.496 35.9562779609 NVPO
-115.496 35.9562779593 NVPO
-115.496 35.9562779944 NVPO
-115.496 35.9562780067 NVPO
-115.496 35.9562779962 NVPO
-74.4428 41.4068208092 NYMD
-74.4428 41.4068207992 NYMD
-116.068 34.1410047849 OAES
-116.068 34.1410050132 OAES
-116.068 34.1410049972 OAES
-116.068 34.1410049813 OAES
-116.068 34.1410049435 OAES
-116.068 34.1410049562 OAES
-92.657 30.8155070451 OAKH
-92.657 30.8155070742 OAKH
-92.657 30.8155070830 OAKH
-92.657 30.8155070695 OAKH
-96.9837 36.3924193386 OK01
-96.858 36.3296254451 OK03
-96.9121 36.3969020867 OK04
-96.8565 36.4607795272 OK06
-96.8565 36.4607794768 OK06
-96.764 36.4543124576 OK07
-96.764 36.4543124228 OK07
-96.9361 36.3711903570 OK08
-96.9361 36.3711903547 OK08
-97.1692 34.1684641189 OKAR
-97.1692 34.1684639932 OKAR
-97.1692 34.1684641353 OKAR
-324.129 -2.7539841388 OLO3
-324.111 -2.6336842374 OLO5
-324.094 -2.7087115491 OLO6
-324.087 -2.7962412629 OLO7
-324.053 -2.7846261613 OLO8
-124.075 44.5145225696 ONAB
-115.918 34.3698823599 OPBL
-115.918 34.3698823381 OPBL
-115.918 34.3698823441 OPBL
