-360 Ref_Nlat *Dot#
-152.624 60.0814505289 AC47
-152.624 60.0814505292 AC47
-152.624 60.0814505352 AC47
-147.343 60.6458635857 AC48
-147.343 60.6458635794 AC48
-147.343 60.6458635755 AC48
-147.343 60.6458635996 AC48
-147.343 60.6458636225 AC48
-147.343 60.6458635058 AC48
-147.343 60.6458634493 AC48
-151.835 61.4980827195 AC51
-151.835 61.4980826619 AC51
-151.835 61.4980826491 AC51
-151.835 61.4980826406 AC51
-151.835 61.4980826600 AC51
-150.069 61.7689724119 AC53
-150.069 61.7689724810 AC53
-150.069 61.7689725281 AC53
-150.069 61.7689725620 AC53
-150.069 61.7689723624 AC53
-151.765 62.3844439595 AC55
-170.218 57.1560881187 AC58
-170.218 57.1560881053 AC58
-170.218 57.1560881211 AC58
-153.585 59.5671979841 AC59
-153.585 59.5671979866 AC59
-153.585 59.5671980467 AC59
-153.585 59.5671980473 AC59
-145.847 63.5024264953 AC63
-180.699 51.3781293442 AC66
-180.699 51.3781292175 AC66
-180.699 51.3781289530 AC66
-180.699 51.3781288699 AC66
-180.699 51.3781288717 AC66
-180.699 51.3781292153 AC66
-180.699 51.3781292827 AC66
-148.188 63.3047126447 AC70
-148.188 63.3047126307 AC70
-148.188 63.3047126086 AC70
-148.807 63.4643563887 AC74
-148.807 63.4643564024 AC74
-149.609 62.9993043489 AC75
-149.609 62.9993043794 AC75
-149.609 62.9993043963 AC75
-147.403 59.9978704732 AC79
-147.403 59.9978705289 AC79
-147.403 59.9978705231 AC79
-147.403 59.9978703664 AC79
-147.403 59.9978703174 AC79
-151.765 62.3940777508 AC80
-151.765 62.3940777501 AC80
-151.765 62.3940777417 AC80
-151.765 62.3940777487 AC80
-117.445 33.2742661216 ACSB
-84.0243 41.9189894459 ADRI
-84.0243 41.9189894288 ADRI
-116.429 34.5942814864 AGMT
-116.429 34.5942814785 AGMT
-116.429 34.5942814865 AGMT
-67.1112 18.4675327105 AGPR
-67.1112 18.4675327966 AGPR
-111.064 42.7731190550 AHID
-87.5015 33.1679744309 AL50
-87.5015 33.1679743446 AL50
-87.5015 33.1679743329 AL50
-87.5015 33.1679743520 AL50
-115.158 37.3579580819 ALAM
-115.158 37.3579580454 ALAM
-115.158 37.3579580285 ALAM
-115.158 37.3579580153 ALAM
-115.158 37.3579580018 ALAM
-72.9178 11.5279842793 ALPA
-72.9178 11.5279842604 ALPA
-66.7541 18.3465297554 AOPR
-66.7541 18.3465297421 AOPR
-66.7541 18.3465298426 AOPR
-91.6285 35.7098755810 ARBT
-91.6285 35.7098755596 ARBT
-92.8827 33.5424046645 ARCM
-92.8827 33.5424046385 ARCM
-94.18 36.1157984055 ARFY
-94.18 36.1157983925 ARFY
-6.78352 61.9973706039 ARGI
-6.78352 61.9973705784 ARGI
-117.522 36.0500104154 ARGU
-117.522 36.0500103979 ARGU
-117.522 36.0500103858 ARGU
-117.522 36.0500103846 ARGU
-117.522 36.0500103887 ARGU
-117.522 36.0500103858 ARGU
-117.522 36.0500103897 ARGU
-117.522 36.0500103749 ARGU
-117.522 36.0500103955 ARGU
-117.522 36.0500103722 ARGU
-117.522 36.0500103910 ARGU
-117.522 36.0500103908 ARGU
-117.522 36.0500103968 ARGU
-117.522 36.0500103916 ARGU
-93.0302 36.1842389021 ARHR
-93.0302 36.1842388519 ARHR
-93.0302 36.1842388325 ARHR
-93.0302 36.1842387905 ARHR
-122.142 48.1740669271 ARLI
-122.142 48.1740668668 ARLI
-122.142 48.1740668770 ARLI
-120.183 45.7082058033 ARLN
-118.911 35.2012595439 ARM2
-118.911 35.2012595469 ARM2
-118.911 35.2012595983 ARM2
-118.911 35.2012595268 ARM2
-118.911 35.2012596156 ARM2
-89.8029 35.9172821088 ARML
-90.5188 36.0591141601 ARPG
-90.5188 36.0591141476 ARPG
-122.67 42.1806908802 ASHL
-122.67 42.1806908797 ASHL
-122.67 42.1806909088 ASHL
-116.139 36.3459204063 ASHM
-116.139 36.3459203963 ASHM
-116.139 36.3459203838 ASHM
-82.5462 35.5994547925 ASHV
-58.2573 75.7261286128 ASKY
-162.006 63.4840468487 AT01
-149.132 61.5977536179 ATW2
-149.132 61.5977535523 ATW2
-149.132 61.5977537235 ATW2
-149.132 61.5977537490 ATW2
-149.132 61.5977537779 ATW2
-149.132 61.5977538401 ATW2
-149.132 61.5977538999 ATW2
-149.132 61.5977539105 ATW2
-149.132 61.5977540231 ATW2
-153.354 59.3702981893 AUGL
-153.354 59.3702980963 AUGL
-153.461 59.3585305783 AV01
-153.461 59.3585305699 AV01
-153.461 59.3585306461 AV01
-153.461 59.3585306428 AV01
-153.428 59.3329744885 AV02
-153.428 59.3329744832 AV02
-153.428 59.3329745461 AV02
-153.428 59.3329745565 AV02
-153.428 59.3329745466 AV02
-153.445 59.3625821698 AV04
-153.445 59.3625822578 AV04
-153.445 59.3625821888 AV04
-153.445 59.3625822389 AV04
-153.445 59.3625822495 AV04
-153.445 59.3625823807 AV04
-153.423 59.3629323313 AV05
-165.766 54.1471789397 AV06
-165.766 54.1471789477 AV06
-166.039 54.1629366327 AV07
-166.039 54.1629366554 AV07
-166.028 54.1362988810 AV08
-166.028 54.1362988579 AV08
-166.542 53.8756343045 AV09
-166.542 53.8756343342 AV09
-166.542 53.8756343135 AV09
-165.934 54.0976091058 AV10
-165.934 54.0976090611 AV10
-153.355 59.3706268197 AV11
-153.355 59.3706268325 AV11
-153.355 59.3706269244 AV11
-153.355 59.3706269387 AV11
-165.898 54.2107989985 AV12
-165.898 54.2107990309 AV12
-165.898 54.1530809492 AV13
-165.898 54.1530809605 AV13
-165.842 54.1188943752 AV14
-165.842 54.1188944049 AV14
-165.842 54.1188943855 AV14
-165.71 54.1001934728 AV15
-165.71 54.1001934839 AV15
-153.535 59.3859100551 AV16
-153.535 59.3859100696 AV16
-153.535 59.3859101626 AV16
-153.535 59.3859101749 AV16
-153.451 59.4039457003 AV17
-153.451 59.4039457080 AV17
-153.451 59.4039457954 AV17
-153.451 59.4039458095 AV17
-153.437 59.3804328856 AV18
-153.437 59.3804329081 AV18
-153.437 59.3804329854 AV18
-153.437 59.3804329927 AV18
-153.414 59.3549069461 AV19
-153.414 59.3549069685 AV19
-153.414 59.3549069757 AV19
-153.414 59.3549070872 AV19
-153.414 59.3549071087 AV19
-153.428 59.3473806004 AV20
-153.428 59.3473805962 AV20
-153.428 59.3473806830 AV20
-153.428 59.3473807010 AV20
-164.755 54.5899842190 AV24
-164.755 54.5899842411 AV24
-164.755 54.5899841873 AV24
-164.755 54.5899841699 AV24
-164.58 54.5716543606 AV26
-164.58 54.5716543844 AV26
-164.58 54.5716543830 AV26
-164.586 54.4723530270 AV29
-164.586 54.4723530286 AV29
-164.586 54.4723530503 AV29
-164.586 54.4723530476 AV29
-163.713 54.7249090544 AV34
-163.713 54.7249090897 AV34
-163.713 54.7249090355 AV34
-164.387 54.8466949380 AV35
-164.387 54.8466949247 AV35
-164.387 54.8466949392 AV35
-164.387 54.8466949108 AV35
-164.387 54.8466948642 AV35
-164.127 54.7717943103 AV36
-164.127 54.7717943355 AV36
-164.127 54.7717943419 AV36
-164.127 54.7717942923 AV36
-163.997 54.7093797893 AV37
-163.997 54.7093798536 AV37
-163.997 54.7093797842 AV37
-163.781 54.8314687932 AV38
-163.781 54.8314687972 AV38
-163.781 54.8314687939 AV38
-163.781 54.8314687314 AV38
-163.998 54.8113418770 AV39
-163.998 54.8113418752 AV39
-163.998 54.8113418061 AV39
-163.998 54.8113417611 AV39
-163.743 54.6445367031 AV40
-163.743 54.6445367294 AV40
-163.743 54.6445366906 AV40
-82.6877 43.0609142193 AVCA
-82.6877 43.0609142733 AVCA
-82.6877 43.0609142770 AVCA
-82.6877 43.0609142686 AVCA
-117.154 34.4683011702 AVRY
-117.154 34.4683011837 AVRY
-117.154 34.4683012035 AVRY
-117.154 34.4683013048 AVRY
-117.154 34.4683012923 AVRY
-117.154 34.4683013538 AVRY
-111.657 35.1773103429 AZFL
-111.657 35.1773103168 AZFL
-111.463 36.9086689421 AZPG
-111.463 36.9086689511 AZPG
-111.463 36.9086688895 AZPG
-111.463 36.9086689580 AZPG
-109.712 32.8020364431 AZSF
-109.712 32.8020364376 AZSF
-117.896 34.1260184089 AZU1
-117.896 34.1260184147 AZU1
-117.896 34.1260184679 AZU1
-117.896 34.1260184806 AZU1
-117.896 34.1260185243 AZU1
-119.03 33.4804525924 BAR1
-119.03 33.4804525967 BAR1
-119.03 33.4804526050 BAR1
-68.2217 44.3950483141 BARH
-68.2217 44.3950482803 BARH
-68.2217 44.3950482719 BARH
-162.707 55.1904175021 BAY2
-83.8917 43.4462302077 BAYR
-83.8917 43.4462302031 BAYR
-116.884 34.2642784878 BBRY
-116.884 34.2642784920 BBRY
-116.884 34.2642786270 BBRY
-116.884 34.2642786228 BBRY
-116.884 34.2642786467 BBRY
-126.843 50.5442809069 BCOV
-126.843 50.5442809255 BCOV
-126.843 50.5442809112 BCOV
-126.843 50.5442809079 BCOV
-126.843 50.5442809012 BCOV
-126.843 50.5442808776 BCOV
-126.843 50.5442808834 BCOV
-126.843 50.5442808572 BCOV
-119.406 34.9204620305 BCWR
-119.406 34.9204620184 BCWR
-119.406 34.9204620217 BCWR
-119.406 34.9204620677 BCWR
-119.406 34.9204620651 BCWR
-119.406 34.9204620528 BCWR
-113.406 44.3156158574 BCYI
-116.621 37.0399310424 BEAT
-116.621 37.0399310155 BEAT
-116.621 37.0399309774 BEAT
-116.621 37.0399309705 BEAT
-116.621 37.0399309117 BEAT
-115.998 34.0005339110 BEMT
-115.998 34.0005338694 BEMT
-115.998 34.0005338729 BEMT
-115.998 34.0005339059 BEMT
-118.074 35.8783879494 BEPK
-118.074 35.8783880256 BEPK
-118.074 35.8783880247 BEPK
-118.074 35.8783880473 BEPK
-118.074 35.8783881589 BEPK
-161.842 60.7879160935 BET1
-161.842 60.7879160558 BET1
-122.125 47.6174217910 BFIR
-122.125 47.6174217803 BFIR
-122.125 47.6174218053 BFIR
-118.16 33.9671181905 BGIS
-118.16 33.9671181745 BGIS
-118.16 33.9671180641 BGIS
-118.16 33.9671180590 BGIS
-118.16 33.9671180752 BGIS
-118.16 33.9671181027 BGIS
-118.989 47.9332940420 BIGD
-118.989 47.9332939962 BIGD
-118.989 47.9332940005 BIGD
-118.989 47.9332939771 BIGD
-84.5769 9.7499751351 BIJA
-84.5769 9.7499750416 BIJA
-84.5769 9.7499750355 BIJA
-84.5769 9.7499750763 BIJA
-84.5769 9.7499746135 BIJA
-84.5769 9.7499745321 BIJA
-193.562 68.0761288319 BILI
-117.065 33.5782431058 BILL
-117.065 33.5782430906 BILL
-117.065 33.5782431402 BILL
-117.065 33.5782431724 BILL
-117.065 33.5782431612 BILL
-117.065 33.5782431554 BILL
-117.065 33.5782431320 BILL
-117.065 33.5782431559 BILL
-117.065 33.5782431759 BILL
-75.336 4.8910025969 BIS0
-116.08 35.2870477130 BKAP
-116.08 35.2870477066 BKAP
-116.08 35.2870476014 BKAP
-116.08 35.2870476100 BKAP
-116.08 35.2870475994 BKAP
-118.095 33.9622581542 BKMS
-118.095 33.9622581642 BKMS
-118.095 33.9622579985 BKMS
-118.095 33.9622580983 BKMS
-118.095 33.9622580932 BKMS
-114.891 42.6131346352 BLKM
-114.891 42.6161231780 BLOK
-109.558 42.7671268846 BLW2
-109.558 42.7671269099 BLW2
-122.928 48.0160577160 BLYN
-122.928 48.0160573848 BLYN
-122.928 48.0160574309 BLYN
-136.48 58.7828920822 BMCP
-136.48 58.7828920656 BMCP
-136.48 58.7828920462 BMCP
-116.053 34.2514449646 BMHL
-116.053 34.2514449298 BMHL
-116.053 34.2514449355 BMHL
-118.277 34.1848943276 BRAN
-118.277 34.1848943081 BRAN
-118.277 34.1848943207 BRAN
-118.277 34.1848943222 BRAN
-118.277 34.1848943593 BRAN
-118.277 34.1848944118 BRAN
-118.277 34.1848944087 BRAN
-118.577 34.6822834078 BRPK
-118.577 34.6822834014 BRPK
-118.577 34.6822833948 BRPK
-118.577 34.6822834435 BRPK
-117.012 34.9186120435 BSRY
-117.012 34.9186120383 BSRY
-117.012 34.9186121489 BSRY
-117.012 34.9186121314 BSRY
-117.012 34.9186121419 BSRY
-117.012 34.9186121578 BSRY
-117.012 34.9186122142 BSRY
-118.188 34.2928060598 BTDM
-118.188 34.2928060768 BTDM
-118.188 34.2928061310 BTDM
-117.844 42.7795011813 BURN
-117.844 42.7795012054 BURN
-117.844 42.7795012139 BURN
-117.844 42.7795011930 BURN
-89.4064 29.3368079694 BVHS
-89.4064 29.3368079911 BVHS
-89.4064 29.3368079899 BVHS
-89.4064 29.3368080047 BVHS
-119.348 35.1572764730 BVPP
-119.348 35.1572764699 BVPP
-119.348 35.1572764770 BVPP
-118.897 37.6445642269 CA99
-118.897 37.6445643424 CA99
-118.897 37.6445641677 CA99
-118.897 37.6445640754 CA99
-120.434 35.9393532223 CAND
-120.434 35.9393531971 CAND
-120.434 35.9393531242 CAND
-120.434 35.9393527807 CAND
-120.434 35.9393527543 CAND
-118.897 37.6446349209 CASA
-118.897 37.6446348400 CASA
-110.677 39.1910219691 CAST
-110.677 39.1910219498 CAST
-110.677 39.1910219369 CAST
-123.367 46.1973029246 CATH
-123.367 46.1973029487 CATH
-123.367 46.1973029174 CATH
-76.5404 42.9435399532 CAYU
-118.63 34.1385614756 CBHS
-118.63 34.1385614745 CBHS
-118.63 34.1385614428 CBHS
-118.63 34.1385614668 CBHS
-118.63 34.1385614869 CBHS
-79.7583 19.7379761376 CBMD
-79.7583 19.7379761169 CBMD
-79.7583 19.7379758202 CBMD
-79.8331 19.7120084587 CBSB
-117.671 35.5653122731 CCCC
-117.671 35.5653122824 CCCC
-117.671 35.5653122783 CCCC
-117.671 35.5653123114 CCCC
-117.671 35.5653142207 CCCC
-116.336 34.8294676018 CDMT
-116.336 34.8294675986 CDMT
-116.336 34.8294675838 CDMT
-116.336 34.8294675821 CDMT
-112.86 40.6806953676 CEDA
-112.86 40.6806953388 CEDA
-112.86 40.6806953368 CEDA
-112.86 40.6806953228 CEDA
-112.86 40.6806953095 CEDA
-117.965 34.2439927953 CGDM
-117.965 34.2439928344 CGDM
-117.965 34.2439929038 CGDM
-87.5587 12.9763057889 CGUI
-87.5587 12.9763058284 CGUI
-122.776 48.0106177088 CHCM
-122.776 48.0106177145 CHCM
-122.776 48.0106177193 CHCM
-122.776 48.0106177557 CHCM
-119.99 47.8315554067 CHEL
-119.99 47.8315553720 CHEL
-119.99 47.8315553650 CHEL
-118.026 34.3334226147 CHIL
-118.026 34.3334226184 CHIL
-118.026 34.3334226472 CHIL
-118.026 34.3334226505 CHIL
-118.026 34.3334227106 CHIL
-117.828 34.6404621794 CHMS
-117.828 34.6404621182 CHMS
-117.828 34.6404620044 CHMS
-117.828 34.6404621165 CHMS
-94.0887 58.7590775892 CHUR
-94.0887 58.7590776001 CHUR
-94.0887 58.7590776404 CHUR
-94.0887 58.7590776330 CHUR
-94.0887 58.7590776321 CHUR
-94.0887 58.7590776691 CHUR
-94.0887 58.7590776584 CHUR
-94.0887 58.7590776597 CHUR
-122.008 49.1566077455 CHWK
-122.008 49.1566077297 CHWK
-122.008 49.1566077195 CHWK
-122.008 49.1566077445 CHWK
-116.666 31.8706774624 CIC1
-116.666 31.8706774452 CIC1
-118.937 34.1095538733 CIRX
-118.937 34.1095538837 CIRX
-118.937 34.1095539098 CIRX
-118.937 34.1095539385 CIRX
-118.127 34.1367085290 CIT1
-118.127 34.1367084769 CIT1
-118.127 34.1367085057 CIT1
-118.127 34.1367085328 CIT1
-118.127 34.1367084879 CIT1
-118.127 34.1367085086 CIT1
-117.424 34.2711958256 CJMG
-117.424 34.2711957933 CJMG
-117.424 34.2711957872 CJMG
-117.424 34.2711957994 CJMG
-117.424 34.2711958367 CJMG
-117.424 34.2711959020 CJMG
-117.479 34.3137993162 CJMS
-117.479 34.3137993212 CJMS
-117.479 34.3137992118 CJMS
-117.479 34.3137993551 CJMS
-117.479 34.3137993517 CJMS
-117.479 34.3137993260 CJMS
-117.479 34.3137993642 CJMS
-117.479 34.3137993623 CJMS
-117.479 34.3137994216 CJMS
-92.273 34.8216950032 CJTR
-92.273 34.8216949862 CJTR
-92.273 34.8216950275 CJTR
-92.273 34.8216949530 CJTR
-92.273 34.8216949193 CJTR
-118.144 34.5303219473 CJVG
-118.144 34.5303219466 CJVG
-118.144 34.5303220053 CJVG
-117.709 34.1099280403 CLAR
-117.709 34.1099280884 CLAR
-117.709 34.1099280508 CLAR
-117.709 34.1099280621 CLAR
-117.709 34.1099281133 CLAR
-117.709 34.1099280892 CLAR
-122.089 42.9760003070 CLCV
